device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,policy,mean_energy_j,total_energy_j,violation_rate,violation_count,max_violation_run,burst_count_ge2,violation_run_count,violation_state_bad_share,violation_state_good_count,violation_state_bad_count,boost_use_rate,boost_use_rate_good,boost_use_rate_bad,policy_metadata_json
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,P0,0.07026467316109931,7026.467316109932,0.1,10000,5,865,8941,0.4338,5662,4338,0.12241,0,0.6144463407288425,"{""budget"": 6811}"
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,P2,0.05857116142141075,5857.116142141075,0.1,10000,5,882,8910,1.0,0,10000,0.0635,0,0.3187430980825218,"{""budget"": 6811}"
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,P2prime,0.058589326966721866,5858.9326966721865,0.1,10000,3,91,9803,1.0,0,10000,0.0635,0,0.3187430980825218,"{""budget"": 6811, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,P1,0.07552854533341022,7552.854533341022,0.03191,3191,3,110,3046,1.0,0,3191,0.13112,0,0.655567221638918,{}
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,P0,0.07028992124177466,7028.992124177466,0.1,10000,5,896,8909,0.4325,5675,4325,0.12233,0,0.6116194190290486,"{""budget"": 6809}"
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,P2,0.05851802307074798,5851.802307074798,0.1,10000,5,893,8894,1.0,0,10000,0.06303,0,0.3151342432878356,"{""budget"": 6809}"
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,P2prime,0.058536526573910314,5853.652657391031,0.1,10000,3,110,9795,1.0,0,10000,0.06303,0,0.3151342432878356,"{""budget"": 6809, ""method"": ""lagrangian_path_dp""}"
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,P1,0.07544780656774579,7544.780656774579,0.03096,3096,3,91,2977,1.0,0,3096,0.131,0,0.6600161225312374,{}
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,P0,0.07020834664432374,7020.834664432374,0.1,10000,5,879,8919,0.4247,5753,4247,0.12215,0,0.6154272470777912,"{""budget"": 6904}"
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,P2,0.05820018479910196,5820.018479910196,0.1,10000,4,914,8909,1.0,0,10000,0.06196,0,0.3121725110842402,"{""budget"": 6904}"
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,P2prime,0.05821950071594041,5821.950071594041,0.1,10000,3,91,9820,1.0,0,10000,0.06196,0,0.3121725110842402,"{""budget"": 6904, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,P1,0.07550212334220903,7550.212334220903,0.03098,3098,3,230,2820,1.0,0,3098,0.13061,0,0.6605472108430688,{}
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,P0,0.07007489769751303,7007.489769751302,0.1,10000,5,990,8759,0.432,5680,4320,0.1211,0,0.6124513225104941,"{""budget"": 6902}"
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,P2,0.05826397196590628,5826.3971965906285,0.1,10000,7,1909,7351,1.0,0,10000,0.06159,0,0.31148535882263695,"{""budget"": 6902}"
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,P2prime,0.058320036468264176,5832.003646826418,0.1,10000,3,230,9651,1.0,0,10000,0.06159,0,0.31148535882263695,"{""budget"": 6902, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,P1,0.07583049906466521,7583.049906466522,0.03186,3186,4,222,2925,1.0,0,3186,0.1322,0,0.658268187023851,{}
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,P0,0.07057003816441507,7057.003816441507,0.1,10000,6,968,8802,0.4333,5667,4333,0.1233,0,0.6139520987900214,"{""budget"": 6814}"
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,P2,0.058807421110556896,5880.74211105569,0.1,10000,8,1845,7432,1.0,0,10000,0.06406,0,0.318976248568441,"{""budget"": 6814}"
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,P2prime,0.05886087364889888,5886.087364889888,0.1,10000,4,222,9665,1.0,0,10000,0.06406,0,0.318976248568441,"{""budget"": 6814, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,P1,0.07566227778079825,7566.227778079825,0.03203,3203,3,222,2928,1.0,0,3203,0.13205,0,0.6619379417514663,{}
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,P0,0.07038432934372484,7038.432934372484,0.1,10000,5,943,8835,0.4358,5642,4358,0.12282,0,0.6156699583939045,"{""budget"": 6797}"
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,P2,0.05867763946365256,5867.763946365256,0.1,10000,7,1796,7453,1.0,0,10000,0.06408,0,0.3212191087272545,"{""budget"": 6797}"
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,P2prime,0.05872881588930815,5872.881588930815,0.1,10000,3,222,9641,1.0,0,10000,0.06408,0,0.3212191087272545,"{""budget"": 6797, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,P1,0.07565176540751709,7565.176540751709,0.032,3200,4,235,2914,1.0,0,3200,0.1314,0,0.6584485868911606,{}
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,P0,0.07040084838911864,7040.084838911864,0.1,10000,5,994,8772,0.4356,5644,4356,0.12243,0,0.6134996993385448,"{""budget"": 6800}"
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,P2,0.058663274553529425,5866.327455352943,0.1,10000,6,1878,7372,1.0,0,10000,0.0634,0,0.3176989376628583,"{""budget"": 6800}"
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,P2prime,0.05871702504339315,5871.702504339315,0.1,10000,4,235,9634,1.0,0,10000,0.0634,0,0.3176989376628583,"{""budget"": 6800, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1705,1.2,42.0,0.1,drop,48,16,3,0.1976,0.38054564128452917,3144,6856,1000,P1,0.0751960706235013,7519.607062350129,0.03144,3144,5,235,2868,1.0,0,3144,0.13064,0,0.6611336032388664,{}
device_0,0.375,1705,1.2,42.0,0.1,drop,48,16,3,0.1976,0.38054564128452917,3144,6856,1000,P0,0.06998676758961575,6998.676758961576,0.1,10000,5,1019,8747,0.4275,5725,4275,0.1219,0,0.6169028340080972,"{""budget"": 6856}"
device_0,0.375,1705,1.2,42.0,0.1,drop,48,16,3,0.1976,0.38054564128452917,3144,6856,1000,P2,0.0580651955582715,5806.51955582715,0.1,10000,7,1928,7378,1.0,0,10000,0.06208,0,0.31417004048582997,"{""budget"": 6856}"
device_0,0.375,1705,1.2,42.0,0.1,drop,48,16,3,0.1976,0.38054564128452917,3144,6856,1000,P2prime,0.0581219757851518,5812.19757851518,0.1,10000,5,235,9657,1.0,0,10000,0.06208,0,0.31417004048582997,"{""budget"": 6856, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1706,1.2,42.0,0.1,drop,48,16,3,0.19975,0.37847803043317246,3216,6784,1000,P1,0.07555980035814443,7555.980035814443,0.03216,3216,4,232,2930,1.0,0,3216,0.13065,0,0.6540675844806008,{}
device_0,0.375,1706,1.2,42.0,0.1,drop,48,16,3,0.19975,0.37847803043317246,3216,6784,1000,P0,0.07022940276251116,7022.940276251116,0.1,10000,4,984,8782,0.441,5590,4410,0.12128,0,0.6071589486858573,"{""budget"": 6784}"
device_0,0.375,1706,1.2,42.0,0.1,drop,48,16,3,0.19975,0.37847803043317246,3216,6784,1000,P2,0.05861149721200116,5861.149721200116,0.1,10000,7,1830,7501,1.0,0,10000,0.06281,0,0.3144430538172716,"{""budget"": 6784}"
device_0,0.375,1706,1.2,42.0,0.1,drop,48,16,3,0.19975,0.37847803043317246,3216,6784,1000,P2prime,0.058663962114738094,5866.39621147381,0.1,10000,4,232,9655,1.0,0,10000,0.06281,0,0.3144430538172716,"{""budget"": 6784, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P1,0.07529344477118693,7529.344477118693,0.03179,3179,4,253,2872,1.0,0,3179,0.13071,0,0.6616217857865965,{}
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P0,0.06981808409305558,6981.808409305559,0.1,10000,5,979,8781,0.4388,5612,4388,0.12113,0,0.6131301882972262,"{""budget"": 6821}"
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2,0.058256320670407986,5825.632067040799,0.1,10000,7,1854,7474,1.0,0,10000,0.0625,0,0.31635958696092326,"{""budget"": 6821}"
device_0,0.375,1707,1.2,42.0,0.1,drop,48,16,3,0.19756,0.3714936166119789,3179,6821,1000,P2prime,0.05830858143269668,5830.858143269668,0.1,10000,4,253,9625,1.0,0,10000,0.0625,0,0.31635958696092326,"{""budget"": 6821, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P1,0.07612594498561284,7612.594498561284,0.03026,3026,3,209,2767,1.0,0,3026,0.13396,0,0.6708733974358975,{}
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P0,0.07052390229902368,7052.3902299023675,0.1,10000,5,960,8790,0.4297,5703,4297,0.12384,0,0.6201923076923077,"{""budget"": 6974}"
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2,0.05870398687358931,5870.398687358931,0.1,10000,7,1855,7462,1.0,0,10000,0.06422,0,0.3216145833333333,"{""budget"": 6974}"
device_0,0.375,1708,1.2,42.0,0.1,drop,48,16,3,0.19968,0.3728274067949136,3026,6974,1000,P2prime,0.05875782315999975,5875.782315999975,0.1,10000,3,209,9681,1.0,0,10000,0.06422,0,0.3216145833333333,"{""budget"": 6974, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1709,1.2,42.0,0.1,drop,48,16,3,0.20214,0.3789219763360735,3255,6745,1000,P1,0.0757996599375448,7579.965993754479,0.03255,3255,4,232,2958,1.0,0,3255,0.13362,0,0.6610270109824874,{}
device_0,0.375,1709,1.2,42.0,0.1,drop,48,16,3,0.20214,0.3789219763360735,3255,6745,1000,P0,0.0705834110348528,7058.34110348528,0.1,10000,5,977,8763,0.4407,5593,4407,0.12458,0,0.6163055308202237,"{""budget"": 6745}"
device_0,0.375,1709,1.2,42.0,0.1,drop,48,16,3,0.20214,0.3789219763360735,3255,6745,1000,P2,0.058940336877960874,5894.033687796087,0.1,10000,8,1852,7378,1.0,0,10000,0.06617,0,0.3273473830018799,"{""budget"": 6745}"
device_0,0.375,1709,1.2,42.0,0.1,drop,48,16,3,0.20214,0.3789219763360735,3255,6745,1000,P2prime,0.058994266079306225,5899.426607930623,0.1,10000,4,232,9636,1.0,0,10000,0.06617,0,0.3273473830018799,"{""budget"": 6745, ""method"": ""lagrangian_path_dp""}"
device_0,0.375,1710,1.2,42.0,0.1,drop,48,16,3,0.19842,0.37511826036297974,3242,6758,1000,P1,0.075102835222037,7510.283522203701,0.03242,3242,4,221,2969,1.0,0,3242,0.13015,0,0.6559318617074892,{}
device_0,0.375,1710,1.2,42.0,0.1,drop,48,16,3,0.19842,0.37511826036297974,3242,6758,1000,P0,0.0699201990215118,6992.019902151179,0.1,10000,6,957,8819,0.4355,5645,4355,0.12149,0,0.6122870678359036,"{""budget"": 6758}"
device_0,0.375,1710,1.2,42.0,0.1,drop,48,16,3,0.19842,0.37511826036297974,3242,6758,1000,P2,0.05821814089061365,5821.814089061365,0.1,10000,7,1851,7418,1.0,0,10000,0.06257,0,0.3153411954440077,"{""budget"": 6758}"
device_0,0.375,1710,1.2,42.0,0.1,drop,48,16,3,0.19842,0.37511826036297974,3242,6758,1000,P2prime,0.05827251539751734,5827.2515397517345,0.1,10000,4,221,9667,1.0,0,10000,0.06257,0,0.3153411954440077,"{""budget"": 6758, ""method"": ""lagrangian_path_dp""}"
device_0,0.75,1701,1.2,42.0,0.1,drop,48,16,3,0.20817,0.7556341521150168,3279,6721,1000,P1,0.07690609352779317,7690.609352779316,0.03279,3279,4,321,2888,1.0,0,3279,0.13764,0,0.6611903732526301,{}
device_0,0.75,1701,1.2,42.0,0.1,drop,48,16,3,0.20817,0.7556341521150168,3279,6721,1000,P0,0.07154628242409622,7154.6282424096225,0.1,10000,5,1003,8758,0.4487,5513,4487,0.12822,0,0.6159388960945381,"{""budget"": 6721}"
device_0,0.75,1701,1.2,42.0,0.1,drop,48,16,3,0.20817,0.7556341521150168,3279,6721,1000,P2,0.060108579047983855,6010.857904798386,0.1,10000,9,2353,6121,1.0,0,10000,0.07043,0,0.3383292501321036,"{""budget"": 6721}"
device_0,0.75,1701,1.2,42.0,0.1,drop,48,16,3,0.20817,0.7556341521150168,3279,6721,1000,P2prime,0.06021097606974344,6021.097606974344,0.1,10000,4,321,9556,1.0,0,10000,0.07043,0,0.3383292501321036,"{""budget"": 6721, ""method"": ""lagrangian_path_dp""}"
device_0,0.75,1702,1.2,42.0,0.1,drop,48,16,3,0.20244,0.7487885933421545,3324,6676,1000,P1,0.0755051922879973,7550.519228799731,0.03324,3324,6,391,2838,1.0,0,3324,0.13244,0,0.6542185338865837,{}
device_0,0.75,1702,1.2,42.0,0.1,drop,48,16,3,0.20244,0.7487885933421545,3324,6676,1000,P0,0.0704565811807019,7045.65811807019,0.1,10000,6,1080,8634,0.4424,5576,4424,0.12403,0,0.6126753606006718,"{""budget"": 6676}"
device_0,0.75,1702,1.2,42.0,0.1,drop,48,16,3,0.20244,0.7487885933421545,3324,6676,1000,P2,0.05882259734971196,5882.259734971196,0.1,10000,10,2361,6003,1.0,0,10000,0.06568,0,0.32444180991898836,"{""budget"": 6676}"
device_0,0.75,1702,1.2,42.0,0.1,drop,48,16,3,0.20244,0.7487885933421545,3324,6676,1000,P2prime,0.05901091091347069,5901.091091347069,0.1,10000,6,391,9439,1.0,0,10000,0.06658,0,0.32888757162616084,"{""budget"": 6676, ""method"": ""lagrangian_path_dp""}"
device_0,0.75,1703,1.2,42.0,0.1,drop,48,16,3,0.20102,0.7470900970852136,3268,6732,1000,P1,0.07567083403623773,7567.083403623773,0.03268,3268,5,385,2813,1.0,0,3268,0.13169,0,0.6551089443836434,{}
device_0,0.75,1703,1.2,42.0,0.1,drop,48,16,3,0.20102,0.7470900970852136,3268,6732,1000,P0,0.070483024661802,7048.302466180199,0.1,10000,6,1103,8610,0.4404,5596,4404,0.12279,0,0.6108347428116605,"{""budget"": 6732}"
device_0,0.75,1703,1.2,42.0,0.1,drop,48,16,3,0.20102,0.7470900970852136,3268,6732,1000,P2,0.05885061708858584,5885.061708858584,0.1,10000,10,2354,5966,1.0,0,10000,0.06437,0,0.32021689384140883,"{""budget"": 6732}"
device_0,0.75,1703,1.2,42.0,0.1,drop,48,16,3,0.20102,0.7470900970852136,3268,6732,1000,P2prime,0.05913687872463275,5913.687872463275,0.1,10000,5,385,9477,1.0,0,10000,0.06631,0,0.32986767485822305,"{""budget"": 6732, ""method"": ""lagrangian_path_dp""}"
device_0,0.75,1704,1.2,42.0,0.1,drop,48,16,3,0.19715,0.7479806369104111,3132,6868,1000,P1,0.07518348895535092,7518.348895535091,0.03132,3132,5,320,2731,1.0,0,3132,0.12926,0,0.6556429114887142,{}
device_0,0.75,1704,1.2,42.0,0.1,drop,48,16,3,0.19715,0.7479806369104111,3132,6868,1000,P0,0.07004291872527352,7004.291872527352,0.1,10000,5,1018,8722,0.4197,5803,4197,0.12072,0,0.6123256403753488,"{""budget"": 6868}"
