device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,check,passed,detail,severity
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,energy_P2_le_P0,True,0.0584587766 <= 0.0703154666,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,energy_P0_le_P1,True,0.0703154666 <= 0.0755968233,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1707.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19896,0.001346027845602329,3139.0,6861.0,1000.0,P1_equals_forced,True,0.03139 == 0.03139,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,energy_P2_le_P2prime,True,0.0585711614 <= 0.058589327,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,energy_P2prime_le_P3,True,0.058589327 <= 0.0586694431,diagnostic
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,energy_P2_le_P0,True,0.0585711614 <= 0.0702646732,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,energy_P0_le_P1,True,0.0702646732 <= 0.0755890411,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1708.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19922,-0.001372807149175493,3189.0,6811.0,1000.0,P1_equals_forced,True,0.03189 == 0.03189,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,energy_P2_le_P2prime,True,0.0585180231 <= 0.0585365266,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,energy_P2prime_le_P3,True,0.0585365266 <= 0.0586216735,diagnostic
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,energy_P2_le_P0,True,0.0585180231 <= 0.0702899212,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,energy_P0_le_P1,True,0.0702899212 <= 0.0755285453,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1709.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20001,0.005034822885721277,3191.0,6809.0,1000.0,P1_equals_forced,True,0.03191 == 0.03191,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,energy_P2_le_P2prime,True,0.0582001848 <= 0.0582195007,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,energy_P2prime_le_P3,True,0.0582195007 <= 0.0583000045,diagnostic
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,energy_P2_le_P0,True,0.0582001848 <= 0.0702083466,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,energy_P0_le_P1,True,0.0702083466 <= 0.0754478066,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.0,1710.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19848,0.0007247411049733544,3096.0,6904.0,1000.0,P1_equals_forced,True,0.03096 == 0.03096,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,energy_P2_le_P2prime,True,0.058263972 <= 0.0583200365,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,energy_P2prime_le_P3,True,0.0583200365 <= 0.058379162,diagnostic
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,energy_P2_le_P0,True,0.058263972 <= 0.0700748977,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,energy_P0_le_P1,True,0.0700748977 <= 0.0755021233,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
device_0,0.375,1701.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.19773,0.37585282092426525,3098.0,6902.0,1000.0,P1_equals_forced,True,0.03098 == 0.03098,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,energy_P2_le_P2prime,True,0.0588074211 <= 0.0588608736,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,energy_P2prime_le_P3,True,0.0588608736 <= 0.0589202656,diagnostic
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,energy_P2_le_P0,True,0.0588074211 <= 0.0705700382,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,energy_P0_le_P1,True,0.0705700382 <= 0.0758304991,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,0.375,1702.0,1.2,42.0,0.1,drop,48.0,16.0,3.0,0.20083,0.3763938072575695,3186.0,6814.0,1000.0,violation_P3_total_within_floor_budget,True,10000 <= floor(epsilon*T)=10000,required
