device,rho,seed,p_bg,p_gb,pi_bad_observed,lag1_autocorr,lag1_autocorr_theory,rate_jitter_sigma_log,rate_jitter_p10,rate_jitter_p50,rate_jitter_p90,resample_attempt
device_0,0.9375,1701,0.05,0.0125,0.20509,0.9402237906216514,0.9375,0.25,0.7266005946812373,0.9999099132844811,1.3743318229783714,0
device_0,0.9375,1702,0.05,0.0125,0.19366,0.9366016280001491,0.9375,0.25,0.7251813145615863,0.9983717785326961,1.37615332327809,0
device_0,0.9375,1703,0.05,0.0125,0.19489,0.9369055048961522,0.9375,0.25,0.7244355089966185,0.9996370604325938,1.3772331779541716,1
device_0,0.9375,1704,0.05,0.0125,0.19999,0.9358099323716185,0.9375,0.25,0.7255364995159144,1.001834660418486,1.3815463179725096,0
device_0,0.9375,1705,0.05,0.0125,0.19063,0.9374553760710133,0.9375,0.25,0.7259079595015121,0.9997448925576907,1.3754838659273316,0
device_0,0.9375,1706,0.05,0.0125,0.20144,0.9386428776611538,0.9375,0.25,0.7256411382480701,1.000515384363447,1.3784303607497856,0
device_0,0.9375,1707,0.05,0.0125,0.20073,0.9386652506542138,0.9375,0.25,0.725803131468763,1.0014844507628335,1.3783334416621331,0
device_0,0.9375,1708,0.05,0.0125,0.19042,0.9350336658268497,0.9375,0.25,0.726219281636213,1.0004901036876017,1.376190851072965,0
device_0,0.9375,1709,0.05,0.0125,0.20214,0.9387695757970393,0.9375,0.25,0.7261207649571586,1.0006383095691986,1.3760957387038026,0
device_0,0.9375,1710,0.05,0.0125,0.20082,0.9338903427364145,0.9375,0.25,0.7262315593401758,0.9999648993310402,1.3773981262440493,0
device_0,0.975,1701,0.020000000000000018,0.0050000000000000044,0.20012,0.9750727182312047,0.975,0.25,0.7249273298767982,1.0000208979153027,1.3745236410389634,0
device_0,0.975,1702,0.020000000000000018,0.0050000000000000044,0.19762,0.9739220248349032,0.975,0.25,0.7245806715367532,0.9999129435804849,1.3769273361287977,1
device_0,0.975,1703,0.020000000000000018,0.0050000000000000044,0.1984,0.975854682367182,0.975,0.25,0.7255835925445359,1.0003524866231452,1.3789914253662099,1
device_0,0.975,1704,0.020000000000000018,0.0050000000000000044,0.19634,0.9733501805342133,0.975,0.25,0.7261168097135832,0.9999903743831575,1.3778845520592002,0
device_0,0.975,1705,0.020000000000000018,0.0050000000000000044,0.19493,0.9747974986214312,0.975,0.25,0.726508227073241,1.0003457693972742,1.3786820524114418,0
device_0,0.975,1706,0.020000000000000018,0.0050000000000000044,0.203,0.9742259419786155,0.975,0.25,0.7280192443274843,1.002075472384905,1.3761542705233645,0
device_0,0.975,1707,0.020000000000000018,0.0050000000000000044,0.20266,0.9738223967562294,0.975,0.25,0.7259089189517177,0.9988396295332072,1.3764479026799947,0
device_0,0.975,1708,0.020000000000000018,0.0050000000000000044,0.19043,0.9746047948044175,0.975,0.25,0.7251578492532982,1.0006573680544038,1.3775694001474865,0
device_0,0.975,1709,0.020000000000000018,0.0050000000000000044,0.19294,0.9749540477640206,0.975,0.25,0.7261794635105163,1.0000751551016016,1.3739969357355002,0
device_0,0.975,1710,0.020000000000000018,0.0050000000000000044,0.19779,0.9774683509778551,0.975,0.25,0.7252920359954896,1.0012403122232418,1.377605694651113,2
