device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std
device_0,0.0,1.2,0.15,late,P0,0.07539447718152131,0.00023581947835325063,0.15,0.0,5.5,0.5270462766947298,1899.4,28.484693745550043,0.34728666666666663,0.00243473830570842,0.11601900000000001,0.0013429523860178734,0.0,0.0,0.5798380609509259,0.0038300361464285305
device_0,0.0,1.2,0.15,late,P1,0.0798452408509703,0.00022122269109056542,0.031605,0.00038462824764815294,3.0,0.0,98.8,5.902918298980976,1.0,0.0,0.132024,0.0012485831970677796,0.0,0.0,0.6598350483098877,0.003261120250367847
device_0,0.0,1.2,0.15,late,P2,0.06110555797484938,0.00020674787347927165,0.15,0.0,6.0,0.6666666666666666,1897.1,44.65534682431662,1.0,0.0,0.013628999999999999,0.0012588129328855817,0.0,0.0,0.06808871640908735,0.005917518376971382
device_0,0.0,1.2,0.15,late,P2prime,0.061701867692863524,0.00019542453765499895,0.15,0.0,3.0,0.0,98.8,5.902918298980976,0.9391866666666667,0.004233878646709369,0.022751,0.0008656333583631762,0.0,0.0,0.11369535794340016,0.0038998703552631142
device_0,0.0,1.35,0.01,drop,P0,0.06345285410850192,0.00011957740031186219,0.01,0.0,2.1,0.31622776601683794,10.2,2.820559440174157,0.5913999999999999,0.016741166825125057,0.052844999999999996,0.000580521795934964,0.0,0.0,0.26412330175592647,0.00333479353054707
device_0,0.0,1.35,0.01,drop,P1,0.06377209715843724,0.00010969663529838828,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.01,drop,P2,0.06247473360520265,0.00013408595440657627,0.01,0.0,2.0,0.0,9.2,3.675746333890726,1.0,0.0,0.048081,0.0005484817428339989,0.0,0.0,0.24031004504067416,0.002914890756484559
device_0,0.0,1.35,0.01,drop,P2prime,0.06247480664841808,0.00013408991428015134,0.01,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.048081,0.0005484817428339989,0.0,0.0,0.24031004504067416,0.002914890756484559
device_0,0.0,1.35,0.01,late,P0,0.06445452549074435,0.00012790813665247586,0.01,0.0,2.1,0.31622776601683794,9.0,2.0,0.5992,0.01493541652136518,0.052834000000000006,0.000552231835373515,0.0,0.0,0.2640687011107509,0.0032476802217334248
device_0,0.0,1.35,0.01,late,P1,0.06456700322621456,0.000122613540599258,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.01,late,P2,0.0638310193871308,0.0001399416048515629,0.01,0.0,2.1,0.31622776601683794,9.5,2.173067468400883,1.0,0.0,0.048081,0.0005484817428339989,0.0,0.0,0.24031004504067416,0.002914890756484559
device_0,0.0,1.35,0.01,late,P2prime,0.06383107161025132,0.00013993696147046757,0.01,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.048081,0.0005484817428339989,0.0,0.0,0.24031004504067416,0.002914890756484559
device_0,0.0,1.35,0.05,drop,P0,0.0608939282858426,0.00012709036292248078,0.05,0.0,3.1,0.316227766016838,236.0,9.177266598624133,0.2766,0.010337418547307749,0.050745,0.0005319826647133885,0.0,0.0,0.25362862616737036,0.0032022404157437357
device_0,0.0,1.35,0.05,drop,P1,0.06377209715843724,0.00010969663529838828,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.05,drop,P2,0.05234684376887415,0.00013362480955955852,0.05,0.0,3.5,0.5270462766947299,239.6,12.393546707863734,1.0,0.0,0.008081000000000001,0.0005484817428340003,0.0,0.0,0.04038716199295295,0.0027195316628949957
device_0,0.0,1.35,0.05,drop,P2prime,0.052351761484785056,0.00013380450542579544,0.05,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.008081000000000001,0.0005484817428340003,0.0,0.0,0.04038716199295295,0.0027195316628949957
device_0,0.0,1.35,0.05,late,P0,0.06360209949061094,0.00012169893712409883,0.05,0.0,3.5,0.8498365855987975,237.7,7.439384681843278,0.27564,0.005484361605713302,0.05073799999999999,0.0004991058671931903,0.0,0.0,0.25359419084929313,0.003122548903402868
device_0,0.0,1.35,0.05,late,P1,0.06456700322621456,0.000122613540599258,0.004967,0.0002052126268586374,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.053113999999999995,0.0005698771797501645,0.0,0.0,0.2654684620858283,0.0033522759527105607
device_0,0.0,1.35,0.05,late,P2,0.058354813910835544,0.00013499621218674088,0.05,0.0,3.3,0.4830458915396479,240.9,13.633700076566807,1.0,0.0,0.008081000000000001,0.0005484817428340003,0.0,0.0,0.04038716199295295,0.0027195316628949957
device_0,0.0,1.35,0.05,late,P2prime,0.05838513312351952,0.00013389468552677338,0.05,0.0,2.0,0.0,2.2,1.1352924243950933,1.0,0.0,0.008081000000000001,0.0005484817428340003,0.0,0.0,0.04038716199295295,0.0027195316628949957
device_0,0.0,1.35,0.1,drop,P0,0.05766813544279248,0.000157752126730103,0.1,0.0,5.1,0.875595035770913,896.6,18.945535973767882,0.23744,0.004006993885695366,0.048028,0.0006188843008008655,0.0,0.0,0.24004399448632566,0.003143387120504265
