device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,sha256
device_0,0.375,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19956,0.37083454970073176,7231,7769,1000,3c7835e85925fafbb75976938d3da84c440811fe6c0b848e85e74ff92789bdce
device_0,0.375,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.1976,0.38054564128452917,7297,7703,1000,38b594500605094f5ec0663aa6050b288b3f7d83d50d058b2fef1698c5cc3446
device_0,0.375,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19975,0.37847803043317246,7241,7759,1000,17aa03f8e7020fe0889dafe6b59a283293ddd7e53ef2ddcabcc2d4bec74e09be
device_0,0.375,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19756,0.3714936166119789,7129,7871,1000,e0ce314155b28d58d99172d5f1ab95f1d6033fe6c5a14ed28209a590a590c7ad
device_0,0.375,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19968,0.3728274067949136,7122,7878,1000,2406d18fd27914326c34845ed29393b684c7700cb6f87c1de81d198527bec42d
device_0,0.375,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20214,0.3789219763360735,7483,7517,1000,b7b235f7606cb96da18ef5b623adf32f23eb82f26506f44f2bf93cb3c9dc25bc
device_0,0.375,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19842,0.37511826036297974,7317,7683,1000,521cd49e147cc33b9006882ae123437cc4d0ab4f08e3a763217cb9de58e0ce25
device_0,0.75,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20817,0.7556341521150168,7395,7605,1000,7ba3a2664b99a9de3e3706cb20b88ae3ba72a62f0dbf0246c2433305d067bddb
device_0,0.75,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20244,0.7487885933421545,7401,7599,1000,089e0873bad8e65905ce1feaba67a417b277512e456f3aaaf5a5193f0a0b9b1c
device_0,0.75,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20102,0.7470900970852136,7279,7721,1000,edeae84521e4da162804c95427001f9c5629db8e6154b130f43dfb67663445bb
device_0,0.75,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19715,0.7479806369104111,7147,7853,1000,8ad97da721c206232fbd941d43e5f9db3c3b92e38bb56fa7baee2df25709f7ec
device_0,0.75,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20494,0.7506431485678381,7493,7507,1000,5c92b96bc273a4c1a9cb35c674a79b0306eb2406b6557fed2acd58f5d771d84c
device_0,0.75,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20282,0.7537784223147826,7170,7830,1000,4670de946b2c9eca4daef57f54c1211aa2cc4337c5d27fd4124a1f2501e5d13e
device_0,0.75,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20138,0.7431906944181493,7383,7617,1000,6019896cddc9c61ea667683f22a47f05dcbb3a7a1df9447a270a612338d8de5d
device_0,0.75,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20034,0.7475350990705809,7141,7859,1000,8eb63c6bcbd6b7551c0866c7d6c6c0c4621f290e05f6bc213ee6ca31261958f5
device_0,0.75,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20613,0.7542776800152501,7423,7577,1000,df7dd839cf908572dccc8212c1e70bf16c67a6ddcdce7218ab73b0fcf524f42c
device_0,0.75,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20286,0.74728584709585,7345,7655,1000,d97c69a6c6d51eb96f6671c7ef3d82756094b9480b9d8f04fd7d4a7bc6740710
device_0,0.875,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20249,0.8763990178082249,7299,7701,1000,95d794596386c5340ae115d9ba28c38ea3ecced094ee58ac4775b26d11d3a14e
device_0,0.875,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19703,0.8759866636367837,7041,7959,1000,a8d83c04b0601280ae4a5f55e53190fe151855c0997d0d66e7f700dd14056453
device_0,0.875,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20238,0.8773687974569232,7388,7612,1000,8455136483e153a2eb8eb0ab67aef66205c534c9a734ea49fdbea2fd5c7aff0a
device_0,0.875,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19663,0.8771256568671042,7061,7939,1000,76616516e14e164012178eea3f24cd281e153410226bcbccb9b3f56799408ac3
device_0,0.875,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20133,0.8756186617053834,7240,7760,1000,f080598f5d0c065a2aa1891517b8e419e3ed0c67e967ea5bfb11be34061e92fa
device_0,0.875,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19605,0.8731077294363513,7265,7735,1000,f069c4c461abdec7bd1462641a739762a938f1787fbf7026fa44ecd11ce8b5ab
device_0,0.875,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.2,0.8774036452681541,7247,7753,1000,2c8794b395aa8263f818f2bf252f50b82fcfb77270368531e90f113dbff63d87
device_0,0.875,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20258,0.87442580026271,7424,7576,1000,bd22bf7e2729736b7f8c4a160b30dcd53223b52541bdb216411fefcf1dc5f8eb
device_0,0.875,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19831,0.8770598020870867,7040,7960,1000,e64ef548c3d7ed8cce32129b59e0872209dbe38f67e276de55b047a0e0665c29
device_0,0.875,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19668,0.8724656025657239,7161,7839,1000,d54bdb7f81b48c6f1c0d0e8ce7a7194dbe6998206d2a0fe4148f6a78e4a441be
device_0,0.9375,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20509,0.9402237906216514,7398,7602,1000,d0d372849f1303e762bcab4f20973cc58b32f8c220331980491f581254ba2110
device_0,0.9375,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19366,0.9366016280001491,7175,7825,1000,79fdad3c284abddc59c520d28f2aea1cc57f0ee40a5c3f895073747a4e63f602
device_0,0.9375,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19489,0.9369055048961522,7108,7892,1000,af4599af049e07bdbe2215de1c98134158ccc94f02640b6aa3974ba4db1702d9
device_0,0.9375,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19999,0.9358099323716185,7227,7773,1000,196a53637808c1470f2df961bea076a0a0e88cf254eda1ebab0dd19a822f3bb0
device_0,0.9375,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19063,0.9374553760710133,7023,7977,1000,d1b4e1f6e6c42401624d7bb59f840278aa7e72221178677e076c8e6b260213a4
device_0,0.9375,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20144,0.9386428776611538,7245,7755,1000,9ec51ebc6634f63ca6f67f1ffa951d6776b8a52fd2bc30a27c7ae35044d47f43
device_0,0.9375,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20073,0.9386652506542138,7184,7816,1000,a37c149a401a997b3062ea461635e591b5aacd0664db328e80ec04ddeeedbf84
device_0,0.9375,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19042,0.9350336658268497,6902,8098,1000,bcdb2b332a18ce0323ca44be1f2e54c02b9ba5a5e6dd18f20b2a7667244346a8
device_0,0.9375,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20214,0.9387695757970393,7313,7687,1000,8e17df9a5bfbef5e96b190e752a21f0849b296e0834a50c67c779905b609f5f7
device_0,0.9375,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20082,0.9338903427364145,7154,7846,1000,1f33e85b4bffba6277e844e6f3ae08d4c0583a9599a8698e1cf5fb9c43e1720b
device_0,0.975,1701,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20012,0.9750727182312047,7189,7811,1000,e3bed7bace3496198b283fa149696d136e130f77beef591213b73e8cf3a18ebc
device_0,0.975,1702,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19762,0.9739220248349032,7230,7770,1000,5e8c06c74a0078a0fe2168bcc01b56c8f0eb599faffa8943bfdb904e6794696b
device_0,0.975,1703,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.1984,0.975854682367182,7081,7919,1000,3c9c09bd4ea37b06726d45c397d87ee1f11839cc1a33671eae5b9f7e26bcfb10
device_0,0.975,1704,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19634,0.9733501805342133,7125,7875,1000,63869ce6b06d1141674c81422fbba553c44d544254650bced1a3dd011737b5e1
device_0,0.975,1705,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19493,0.9747974986214312,7031,7969,1000,829537328e1b72d34c585b186fc89981f83abe7b257d099f3eb57f9a89882b80
device_0,0.975,1706,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.203,0.9742259419786155,7403,7597,1000,f513be6332d81902581108174a6290c24df3fd1c9cefd8bd6a91f26b9165e6df
device_0,0.975,1707,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.20266,0.9738223967562294,7324,7676,1000,bf9c13771795ef35489423f2e0f874ea54cc7b567cec24907bc1399388c4af1e
device_0,0.975,1708,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19043,0.9746047948044175,6961,8039,1000,ccf3fbadba459cd92977e19a93932f22179307b6980632c9f2ae9b1c6bfa2736
device_0,0.975,1709,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19294,0.9749540477640206,6857,8143,1000,cf15c15fd2c0a2bd37270f91746b1a55cb58dec4f33bc3a67a6b3d730257b186
device_0,0.975,1710,1.1,39.6495,0.15,late,40,12,3.3333333333333335,0.19779,0.9774683509778551,7145,7855,1000,ddc1909fe9c57643a351427668cfda857e1e955c75cc00bf2d9c56010702e1c5
device_0,0.0,1701,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.19936,-0.002661444942765865,3336,6664,1000,44e82775680ae2b4a661de6b1a9404a4ebea4bd68fd82c0fa3ea95990604c221
device_0,0.0,1702,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.20106,0.005830007599770396,3378,6622,1000,d730aa7a67b6041d946b598ad1b6e803396c4bb072ad97568cc90185eb051181
device_0,0.0,1703,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.19952,0.005656351965683195,3398,6602,1000,555f4a364a916b9abf673f8a6a369832e8a7a1e76d345c2ed09a6d85bfe152e6
device_0,0.0,1704,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.20257,0.002457782015709934,3272,6728,1000,4f4ced50983c2ca61b006156ffb55d471ad67a535b0e97d9f632b9bd63024f49
device_0,0.0,1705,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.20104,-0.004155617772998724,3353,6647,1000,1d5841d14beae15a18189d10ed72a32ba3d9206b1a478d7c2d094e9d44a3f289
device_0,0.0,1706,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.20062,-0.0045443747273977144,3327,6673,1000,66c6bde2fac42b00f4c88576c06a49f611c22c428d11376e751b6c3e319891bc
device_0,0.0,1707,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.19896,0.001346027845602329,3321,6679,1000,1fd9ce6ff90ecce788e90f281668875af594c9c170be0cb2f7abbd9378817035
device_0,0.0,1708,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.19922,-0.001372807149175493,3383,6617,1000,06108652122fbfb2721f313bc2520f3f51804ac75ca83b18e8917b1725d6ecfe
device_0,0.0,1709,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.20001,0.005034822885721277,3378,6622,1000,7e1870a281634b95e3f2fdd578e53843f2182cbb3dc1e16aa071951687c54a38
device_0,0.0,1710,1.2,43.254,0.1,drop,40,12,3.3333333333333335,0.19848,0.0007247411049733544,3266,6734,1000,796aa36ce90ad553c5faca83c6ebc3ac5edd29619eb0eaac09cc6f6623c279fb
