device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,policy,local_mode,channel_state,slot_count,use_count,use_rate
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,normal,all,10000,9215,0.9215
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,normal,Bad,2041,1256,0.6153846153846154
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,boost,all,10000,785,0.0785
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,boost,Good,7959,0,0.0
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2,boost,Bad,2041,785,0.38461538461538464
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,normal,all,10000,9215,0.9215
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,normal,Good,7959,7918,0.9948485990702349
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,normal,Bad,2041,1297,0.6354728074473297
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,boost,all,10000,785,0.0785
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,boost,Good,7959,41,0.005151400929765046
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P2prime,boost,Bad,2041,744,0.36452719255267024
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,normal,all,10000,9152,0.9152
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,normal,Good,7959,7861,0.9876868953386104
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,normal,Bad,2041,1291,0.6325330720235178
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,boost,all,10000,848,0.0848
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,boost,Good,7959,98,0.012313104661389622
device_0,0.0,1701,1.1,39.6495,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,727,773,P3,boost,Bad,2041,750,0.3674669279764821
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,all,10000,1610,0.161
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,Bad,2041,1610,0.788829005389515
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,all,10000,7496,0.7496
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,Good,7959,7400,0.9297650458600326
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,Bad,2041,96,0.04703576678098971
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,all,10000,1504,0.1504
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,Bad,2041,1504,0.7368936795688388
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,all,10000,936,0.0936
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,Bad,2041,936,0.4585987261146497
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,all,10000,936,0.0936
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,Bad,2041,936,0.4585987261146497
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,all,10000,8060,0.806
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,Good,7959,7955,0.9994974242995351
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,all,10000,939,0.0939
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,Bad,2041,939,0.4600685938265556
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,all,10000,8390,0.839
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,normal,Bad,2041,431,0.21117099461048505
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,all,10000,1610,0.161
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P1,boost,Bad,2041,1610,0.788829005389515
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,all,10000,8507,0.8507
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,normal,Bad,2041,548,0.26849583537481625
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,all,10000,1493,0.1493
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P0,boost,Bad,2041,1493,0.7315041646251838
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,all,10000,9064,0.9064
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,normal,Bad,2041,1105,0.5414012738853503
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,all,10000,936,0.0936
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2,boost,Bad,2041,936,0.4585987261146497
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,all,10000,9064,0.9064
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,normal,Bad,2041,1105,0.5414012738853503
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,all,10000,936,0.0936
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P2prime,boost,Bad,2041,936,0.4585987261146497
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,all,10000,9051,0.9051
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,normal,Bad,2041,1092,0.535031847133758
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,all,10000,949,0.0949
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,674,P3,boost,Bad,2041,949,0.46496815286624205
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,all,10000,8064,0.8064
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,Good,7959,7959,1.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,normal,Bad,2041,105,0.0514453699167075
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,all,10000,1610,0.161
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,Good,7959,0,0.0
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P1,boost,Bad,2041,1610,0.788829005389515
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,all,10000,7072,0.7072
device_0,0.0,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,326,1174,P0,normal,Good,7959,6979,0.8768689533861038
