device,rho,seed,deadline_ratio,deadline_ms,skip_mode,saving_p10_j,saving_p50_j,saving_p90_j,saving_unique_count,saving_feasible_unique_count,saving_degenerate,warning
device_0,0.75,1702,2.0,72.09,drop,0.027057710542414994,0.03898579185256071,0.1643099541121156,9936,9936,False,
device_0,0.75,1702,2.0,72.09,late,0.0,0.0,0.043339093719497325,1872,1872,False,
device_0,0.75,1703,1.1,39.6495,drop,0.022148832715540693,0.14739556436492562,0.38282869364303707,9191,9190,False,
device_0,0.75,1703,1.1,39.6495,late,0.0,0.0996204612938794,0.27614078124435915,5464,5464,False,
device_0,0.75,1703,1.2,43.254,drop,0.02518963161796551,0.038258861098899914,0.3858603586497482,9610,9609,False,
device_0,0.75,1703,1.2,43.254,late,0.0,0.0,0.2668736859555666,4503,4503,False,
device_0,0.75,1703,1.35,48.66075000000001,drop,0.0266417789335432,0.03918664476198898,0.3877153507773363,9885,9884,False,
device_0,0.75,1703,1.35,48.66075000000001,late,0.0,0.0,0.23751001475985417,3213,3213,False,
device_0,0.75,1703,1.5,54.0675,drop,0.026927639387147352,0.03936940135674688,0.1641796766357643,9947,9946,False,
device_0,0.75,1703,1.5,54.0675,late,0.0,0.0,0.0674437177842113,2466,2466,False,
device_0,0.75,1703,2.0,72.09,drop,0.026986725708845572,0.03941724130897797,0.1643435118995685,9958,9958,False,
device_0,0.75,1703,2.0,72.09,late,0.0,0.0,0.043857230484743034,1918,1918,False,
device_0,0.875,1701,1.1,39.6495,drop,0.023270439367609995,0.14734933022148844,0.3816850461249491,9276,9275,False,
device_0,0.875,1701,1.1,39.6495,late,0.0,0.09917714051843406,0.2741240380301566,5400,5400,False,
device_0,0.875,1701,1.2,43.254,drop,0.025383200487665934,0.03775015676394838,0.38495974830742313,9608,9607,False,
device_0,0.875,1701,1.2,43.254,late,0.0,0.0,0.2638494010424329,4253,4253,False,
device_0,0.875,1701,1.35,48.66075000000001,drop,0.026626853406679994,0.03854014241784409,0.38685881974416886,9852,9851,False,
device_0,0.875,1701,1.35,48.66075000000001,late,0.0,0.0,0.22864007381893026,3041,3041,False,
device_0,0.875,1701,1.5,54.0675,drop,0.02690060779129829,0.038729878782994234,0.16337657446264256,9921,9920,False,
device_0,0.875,1701,1.5,54.0675,late,0.0,0.0,0.06708393194280098,2260,2260,False,
device_0,0.875,1701,2.0,72.09,drop,0.02701422614052385,0.03879876598511916,0.1635324931047129,9933,9933,False,
device_0,0.875,1701,2.0,72.09,late,0.0,0.0,0.04108538624808372,1716,1716,False,
device_0,0.875,1702,1.1,39.6495,drop,0.02278359463105604,0.1473365884090913,0.3827248952591812,9211,9210,False,
device_0,0.875,1702,1.1,39.6495,late,0.0,0.0989692820688169,0.2758154914109228,5345,5345,False,
device_0,0.875,1702,1.2,43.254,drop,0.025395579762786048,0.03801633511796305,0.38594726350234737,9620,9619,False,
device_0,0.875,1702,1.2,43.254,late,0.0,0.0,0.26593551593170783,4426,4426,False,
device_0,0.875,1702,1.35,48.66075000000001,drop,0.026599697429816386,0.03883788248947564,0.38779333401436394,9869,9868,False,
device_0,0.875,1702,1.35,48.66075000000001,late,0.0,0.0,0.23859003468380174,3138,3138,False,
device_0,0.875,1702,1.5,54.0675,drop,0.02686632215263278,0.03902346009556683,0.16428551393643506,9935,9934,False,
device_0,0.875,1702,1.5,54.0675,late,0.0,0.0,0.06720671551683685,2405,2405,False,
device_0,0.875,1702,2.0,72.09,drop,0.026987765369935964,0.03910277966000343,0.16440277188225763,9948,9948,False,
device_0,0.875,1702,2.0,72.09,late,0.0,0.0,0.043335248917973405,1895,1895,False,
device_0,0.875,1703,1.1,39.6495,drop,0.022622901069031552,0.147359196565531,0.3818343498350659,9203,9202,False,
device_0,0.875,1703,1.1,39.6495,late,0.0,0.0994355447032092,0.2746740674622473,5395,5395,False,
device_0,0.875,1703,1.2,43.254,drop,0.025646486940576314,0.03807553524833106,0.38554965391075197,9618,9617,False,
device_0,0.875,1703,1.2,43.254,late,0.0,0.0,0.26373427368704133,4402,4402,False,
device_0,0.875,1703,1.35,48.66075000000001,drop,0.026732353752866284,0.03885154879504277,0.38755628331827074,9871,9870,False,
device_0,0.875,1703,1.35,48.66075000000001,late,0.0,0.0,0.23533867687070215,3122,3122,False,
device_0,0.875,1703,1.5,54.0675,drop,0.02694205976001196,0.039056063368914755,0.1640214519387093,9933,9932,False,
device_0,0.875,1703,1.5,54.0675,late,0.0,0.0,0.06724327840145768,2348,2348,False,
device_0,0.875,1703,2.0,72.09,drop,0.026995294899864877,0.03912085166642883,0.16415481813535754,9948,9948,False,
device_0,0.875,1703,2.0,72.09,late,0.0,0.0,0.04118525189564344,1791,1791,False,
device_0,0.9375,1701,1.1,39.6495,drop,0.02289167475892527,0.14736860347070946,0.38239494820080266,9227,9226,False,
device_0,0.9375,1701,1.1,39.6495,late,0.0,0.0990889581732369,0.27504609849810935,5411,5411,False,
device_0,0.9375,1701,1.2,43.254,drop,0.025545893728559154,0.038031146129380786,0.38562705459700836,9621,9620,False,
device_0,0.9375,1701,1.2,43.254,late,0.0,0.0,0.2648991176474141,4381,4381,False,
device_0,0.9375,1701,1.35,48.66075000000001,drop,0.026696519233359396,0.038862920451942395,0.3875035723018048,9876,9875,False,
device_0,0.9375,1701,1.35,48.66075000000001,late,0.0,0.0,0.23578293766574263,3125,3125,False,
device_0,0.9375,1701,1.5,54.0675,drop,0.026917726066755018,0.039072940251492036,0.16393259690309633,9935,9934,False,
device_0,0.9375,1701,1.5,54.0675,late,0.0,0.0,0.06715594379757871,2381,2381,False,
device_0,0.9375,1701,2.0,72.09,drop,0.026992256581711338,0.039157540069773136,0.16402484377340762,9950,9950,False,
device_0,0.9375,1701,2.0,72.09,late,0.0,0.0,0.042413578644618984,1819,1819,False,
device_0,0.9375,1702,1.1,39.6495,drop,0.022427596795500007,0.14734584706360102,0.38210657195694825,9180,9179,False,
device_0,0.9375,1702,1.1,39.6495,late,0.0,0.09922988953392185,0.2763024311432356,5356,5356,False,
device_0,0.9375,1702,1.2,43.254,drop,0.025421756078735508,0.037962490739572835,0.38560060562169923,9609,9608,False,
device_0,0.9375,1702,1.2,43.254,late,0.0,0.0,0.2659874749600126,4340,4340,False,
device_0,0.9375,1702,1.35,48.66075000000001,drop,0.02665639624963115,0.03870308482859454,0.38757068530957234,9861,9860,False,
