device,L,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,selected_v_mean,selected_v_std
device_0,2,1.5,0.05,drop,P2,0.05455824,0.0007861042129387165,0.05000000000000001,0.0,8.333333333333334,0.5773502691896258,130.66666666666666,6.4291005073286405,1.0,0.0,,
device_0,2,1.5,0.05,drop,P2prime,0.05455824,0.0007861042129387165,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.05,drop,P3,0.05461136,0.0007982373702101435,0.05000000000000001,0.0,6.333333333333333,1.5275252316519465,23.666666666666668,6.429100507328636,0.992,0.0020000000000000018,100.0,0.0
device_0,2,1.5,0.05,late,P0,0.06275189333333332,0.0007513163246817796,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,25.0,0.0,0.19866666666666669,0.032083225108042575,,
device_0,2,1.5,0.05,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,1.5,0.05,late,P2,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,8.333333333333334,0.5773502691896258,130.66666666666666,6.4291005073286405,1.0,0.0,,
device_0,2,1.5,0.05,late,P2prime,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.05,late,P3,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,19.333333333333332,3.214550253664319,1.0,0.0,100.0,0.0
device_0,2,1.5,0.1,drop,P0,0.05668912,0.0006702125370358215,0.10000000000000002,0.0,3.6666666666666665,0.5773502691896258,88.0,8.660254037844387,0.204,0.019052558883257648,,
device_0,2,1.5,0.1,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,1.5,0.1,drop,P2,0.04611824,0.0007861042129387244,0.10000000000000002,0.0,10.0,1.0,254.0,7.810249675906654,1.0,0.0,,
device_0,2,1.5,0.1,drop,P2prime,0.04611824,0.0007861042129387187,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.1,drop,P3,0.04617578666666666,0.0008013611673479898,0.10000000000000002,0.0,6.666666666666667,2.081665999466133,157.66666666666666,11.239810200058248,0.9956666666666667,0.0011547005383792366,100.0,0.0
device_0,2,1.5,0.1,late,P0,0.06252290666666667,0.0007872594503296374,0.10000000000000002,0.0,4.0,1.0,102.33333333333333,4.932882862316246,0.19166666666666665,0.009018499505645797,,
device_0,2,1.5,0.1,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,1.5,0.1,late,P2,0.06051824,0.0007861042129387067,0.10000000000000002,0.0,10.0,1.0,254.0,7.810249675906654,1.0,0.0,,
device_0,2,1.5,0.1,late,P2prime,0.06051824,0.0007861042129387067,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,1.5,0.1,late,P3,0.06051824,0.0007861042129387125,0.10000000000000002,0.0,6.666666666666667,2.081665999466133,177.66666666666666,21.73323108360405,1.0,0.0,4000.0,5196.152422706632
device_0,2,2.0,0.01,drop,P0,0.06238591999999999,0.0007892387907344633,0.01,0.0,1.6666666666666667,0.5773502691896258,1.0,1.0,0.19000000000000003,0.01999999999999999,,
device_0,2,2.0,0.01,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.01,drop,P2,0.06131023999999999,0.0007861042129387187,0.01,0.0,6.333333333333333,2.516611478423583,27.0,2.0,1.0,0.0,,
device_0,2,2.0,0.01,drop,P2prime,0.06131023999999999,0.0007861042129387187,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.01,drop,P3,0.06132352,0.0007861042129387181,0.01,0.0,1.0,0.0,0.0,0.0,0.9899999999999999,0.0,10.0,0.0
device_0,2,2.0,0.01,late,P0,0.06294615999999999,0.0007896623440433292,0.01,0.0,1.6666666666666667,0.5773502691896257,1.0,1.0,0.21,0.034641016151377546,,
device_0,2,2.0,0.01,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.01,late,P2,0.06275024,0.0007861042129387164,0.01,0.0,6.333333333333333,2.516611478423583,27.0,2.0,1.0,0.0,,
device_0,2,2.0,0.01,late,P2prime,0.06275024,0.0007861042129387164,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.01,late,P3,0.06275024,0.0007861042129387167,0.01,0.0,1.6666666666666667,1.1547005383792517,0.3333333333333333,0.5773502691896258,1.0,0.0,40.0,51.96152422706632
device_0,2,2.0,0.05,drop,P0,0.05979056000000001,0.0007209217743971967,0.05000000000000001,0.0,2.3333333333333335,0.5773502691896257,23.666666666666668,4.509249752822894,0.212,0.011135528725660036,,
device_0,2,2.0,0.05,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.05,drop,P2,0.05455824,0.0007861042129387165,0.05000000000000001,0.0,8.333333333333334,0.5773502691896258,130.66666666666666,6.4291005073286405,1.0,0.0,,
device_0,2,2.0,0.05,drop,P2prime,0.05455824,0.0007861042129387165,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.05,drop,P3,0.05461136,0.0007982373702101435,0.05000000000000001,0.0,6.333333333333333,1.5275252316519465,23.666666666666668,6.429100507328636,0.992,0.0020000000000000018,100.0,0.0
device_0,2,2.0,0.05,late,P0,0.06274528,0.0008017785948751696,0.05000000000000001,0.0,3.0,0.0,24.0,2.0,0.204,0.022538855339169293,,
device_0,2,2.0,0.05,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.05,late,P2,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,8.333333333333334,0.5773502691896258,130.66666666666666,6.4291005073286405,1.0,0.0,,
device_0,2,2.0,0.05,late,P2prime,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.05,late,P3,0.06175823999999999,0.0007861042129387165,0.05000000000000001,0.0,2.6666666666666665,0.5773502691896258,19.333333333333332,3.214550253664319,1.0,0.0,100.0,0.0
device_0,2,2.0,0.1,drop,P0,0.05684848000000001,0.0006717895098913034,0.10000000000000002,0.0,3.3333333333333335,0.5773502691896258,90.0,10.0,0.19200000000000003,0.008660254037844393,,
device_0,2,2.0,0.1,drop,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.1,drop,P2,0.04611824,0.0007861042129387244,0.10000000000000002,0.0,10.0,1.0,254.0,7.810249675906654,1.0,0.0,,
device_0,2,2.0,0.1,drop,P2prime,0.04611824,0.0007861042129387187,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.1,drop,P3,0.04617578666666666,0.0008013611673479898,0.10000000000000002,0.0,6.666666666666667,2.081665999466133,157.66666666666666,11.239810200058248,0.9956666666666667,0.0011547005383792366,100.0,0.0
device_0,2,2.0,0.1,late,P0,0.06251216,0.0007939301692214435,0.10000000000000002,0.0,3.0,0.0,91.66666666666667,8.326663997864532,0.19599999999999998,0.012124355652982146,,
device_0,2,2.0,0.1,late,P1,0.06299824,0.0007861042129387128,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,2,2.0,0.1,late,P2,0.06051824,0.0007861042129387067,0.10000000000000002,0.0,10.0,1.0,254.0,7.810249675906654,1.0,0.0,,
device_0,2,2.0,0.1,late,P2prime,0.06051824,0.0007861042129387067,0.10000000000000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,2,2.0,0.1,late,P3,0.06051824,0.0007861042129387125,0.10000000000000002,0.0,6.666666666666667,2.081665999466133,177.66666666666666,21.73323108360405,1.0,0.0,4000.0,5196.152422706632
device_0,5,1.5,0.01,drop,P0,0.06208490666666666,0.0007579301385571947,0.01,0.0,2.0,0.0,1.6666666666666667,1.1547005383792517,0.17,0.06999999999999999,,
device_0,5,1.5,0.01,drop,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.01,drop,P2,0.060982666666666664,0.0008507841440302834,0.01,0.0,17.0,6.082762530298219,15.333333333333334,3.055050463303893,1.0,0.0,,
device_0,5,1.5,0.01,drop,P2prime,0.060982666666666664,0.0008507841440302834,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.01,drop,P3,0.06099152,0.0008558133179613432,0.01,0.0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.5773502691896258,0.9933333333333333,0.0057735026918962545,10.0,0.0
device_0,5,1.5,0.01,late,P0,0.06262850666666667,0.000847512751841139,0.01,0.0,1.6666666666666667,0.5773502691896257,0.6666666666666666,0.5773502691896258,0.17,0.0264575131106459,,
device_0,5,1.5,0.01,late,P1,0.06267066666666667,0.0008507841440302796,0.0,0.0,0.0,0.0,0.0,0.0,,,,
device_0,5,1.5,0.01,late,P2,0.06242266666666666,0.0008507841440302811,0.01,0.0,17.0,6.082762530298219,15.333333333333334,3.055050463303893,1.0,0.0,,
device_0,5,1.5,0.01,late,P2prime,0.06242266666666666,0.0008507841440302795,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
device_0,5,1.5,0.01,late,P3,0.06242266666666666,0.0008507841440302811,0.01,0.0,6.0,6.928203230275509,2.0,1.7320508075688772,1.0,0.0,400.0,519.6152422706632
