device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,2,1702,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,58dac97d42c652dc02863cac772c860ed72a4ddfb8d32407911f67b7601ef17b
device_0,2,1702,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,dafd4b1a3cacb0d797f717d95a3032129f76db806f9839eb20a4eb038745c35c
device_0,2,1702,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,100,be916edd98cc5d49368fa7f9c0d35da7baf10018a094c6ef4956dc8864ecbe46
device_0,2,1702,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,22955d0fcaf87f8d1529599f2784f3803fce4e6b1be9fe0da9ffac4f1b71d4de
device_0,2,1702,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,500,e9cbc453dd21c0c9e8dd1f942dc88a7213f0a5a332510ae2e24a034613eea30a
device_0,2,1702,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,464daa770ca28a4f1a27bc3e2a23ea2a046cfd2cf185077346abc69feb905c7b
device_0,2,1702,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2073,0.39387452605194295,0,1000,bbade781be3657e37756d9f4b419d3377c1139f289fe5f212c48a4a88ed71422
device_0,2,1703,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,9a595cb6cd734877805f71e4f154cc336253aab77dedd449b522ce34a4b63908
device_0,2,1703,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,b7e1e8ab726285488456f47afcfc8b819636ab42cb966650fd0ea7c3d724c289
device_0,2,1703,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,8077fbccb76f8740c6cbab38da263760f30ae6a5976fa172b913561edb9c4654
device_0,2,1703,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,95fca4db1346701d55bb79c1702c8ef131460c1e782dc417d5f4a131ef09706a
device_0,2,1703,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,cf864a80860996baa04f190848b1fa1ec73118982e04bef753697223a0a0ccfb
device_0,2,1703,1.5,54.0675,0.1,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,8b57be50476896bfdd420bd7250183b84f98851040dc4a5b90ea2ed88ddcf826
device_0,2,1703,2.0,72.09,0.01,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,41306ac9af60d5c552b3ba5d354d77eed2993310fc08a48b57dce42ef9ebf8e3
device_0,2,1703,2.0,72.09,0.01,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,100,19d64fd076e3133ced11cc9aaf1b5edc9db019165b98d47e3bbf625443cb3c9e
device_0,2,1703,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,816e56d0d6f209074b6773f6e91e1cb08f9ba08706d048adb20f47e73e34c07a
device_0,2,1703,2.0,72.09,0.05,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,500,fbf2559d0ddf1236326536e6d5713926c905bba564c6801561e7898ab1cfa816
device_0,2,1703,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,1d54991cdec37d3d66a0c73a71d5af5853c4f1b1204ed2e0b9b5daec68a6e82e
device_0,2,1703,2.0,72.09,0.1,late,40.0,10.0,4.0,0.1965,0.3900580928002546,0,1000,029c47c559222b33cae9207ab8fc9e212757e26e2feab3592989b4701010c6ac
device_0,5,1701,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,100,5d1cbc4bb9e5d4ecbad30c8569ba2d4a386ce35037bffb8fa4f4e88e201734f5
device_0,5,1701,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,100,ad4225d7018e58cfb7c266a04ba8d189661b7baeca452a4e129fb09b2c796ff5
device_0,5,1701,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,500,7162a4253055f26b53a5737493fc2b4e68fe5848ded35dd7b8c024cf78a74193
device_0,5,1701,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.196,0.7394474346423828,0,500,fdfc7814a9a6d6ab2a52a057f4b1d8270e5aaf51f6917dac6d317ee90a4a9d53
device_0,5,1701,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.196,0.7394474346423828,0,1000,d5f0caa8a9ab416bd8d035016c766125001c794033fc32658c10debffaaf6e31
