device,L,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,check,passed,detail,severity
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1701.0,2.0,72.09,0.01,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,100.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2_le_P2prime,True,0.05475744 <= 0.05475744,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2prime_le_P3,True,0.05475744 <= 0.05475744,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2_le_P0,True,0.05475744 <= 0.06004288,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P0_le_P1,True,0.06004288 <= 0.06319744,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2_le_P2prime,True,0.06195744 <= 0.06195744,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2prime_le_P3,True,0.06195744 <= 0.06195744,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P2_le_P0,True,0.06195744 <= 0.0629544,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,energy_P0_le_P1,True,0.0629544 <= 0.06319744,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1701.0,2.0,72.09,0.05,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,500.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P2prime,True,0.04631744 <= 0.04631744,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2prime_le_P3,True,0.04631744 <= 0.04635728,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P0,True,0.04631744 <= 0.05686176,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P0_le_P1,True,0.05686176 <= 0.06319744,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,drop,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P2prime,True,0.06071744 <= 0.06071744,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2prime_le_P3,True,0.06071744 <= 0.06071744,diagnostic
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P2_le_P0,True,0.06071744 <= 0.06266672,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,energy_P0_le_P1,True,0.06266672 <= 0.06319744,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P0_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P2prime_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,violation_P3_within_budget,True,0.1 <= 0.105,required
device_0,1.0,1701.0,2.0,72.09,0.1,late,40.0,10.0,4.0,0.2048,-0.2574195171026162,0.0,1000.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2_le_P2prime,True,0.06019472 <= 0.06019472,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2prime_le_P3,True,0.06019472 <= 0.060208,diagnostic
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2_le_P0,True,0.06019472 <= 0.06132352,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P0_le_P1,True,0.06132352 <= 0.06188272,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2_le_P2prime,True,0.06163472 <= 0.06163472,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2prime_le_P3,True,0.06163472 <= 0.06163472,diagnostic
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P2_le_P0,True,0.06163472 <= 0.06182816,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,energy_P0_le_P1,True,0.06182816 <= 0.06188272,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,1.0,1702.0,1.5,54.0675,0.01,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,100.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2_le_P2prime,True,0.05344272 <= 0.05344272,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2prime_le_P3,True,0.05344272 <= 0.053456,diagnostic
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2_le_P0,True,0.05344272 <= 0.05892736,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P0_le_P1,True,0.05892736 <= 0.06188272,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2_le_P2prime,True,0.06064272 <= 0.06064272,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2prime_le_P3,True,0.06064272 <= 0.06064272,diagnostic
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P2_le_P0,True,0.06064272 <= 0.06165208,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,energy_P0_le_P1,True,0.06165208 <= 0.06188272,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,violation_P3_within_budget,True,0.05 <= 0.055,required
device_0,1.0,1702.0,1.5,54.0675,0.05,late,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,500.0,P1_equals_forced,True,0 == 0,required
device_0,1.0,1702.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,1000.0,energy_P2_le_P2prime,True,0.04500272 <= 0.04500272,required
device_0,1.0,1702.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,1000.0,energy_P2prime_le_P3,True,0.04500272 <= 0.04506912,diagnostic
device_0,1.0,1702.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,1000.0,energy_P2_le_P0,True,0.04500272 <= 0.05556032,required
device_0,1.0,1702.0,1.5,54.0675,0.1,drop,40.0,10.0,4.0,0.1949,-0.2421118012422359,0.0,1000.0,energy_P0_le_P1,True,0.05556032 <= 0.06188272,required
