device,L,deadline_ratio,epsilon,skip_mode,discard_gain_percent_mean,discard_gain_percent_std,targeting_gain_percent_mean,targeting_gain_percent_std,oracle_gap_percent_mean,oracle_gap_percent_std,online_recovery_mean,online_recovery_std,p2prime_gap_percent_mean,p2prime_gap_percent_std,pi_bad_observed_mean,pi_bad_observed_std,lag1_autocorr_mean,lag1_autocorr_std
device_0,2,1.5,0.1,drop,10.01383974885087,0.3414641366652957,16.783360493556245,0.5510552738025631,26.797200242407115,0.33669697210829336,0.9965908372827806,0.0009084373903831719,-7.281552095015295e-15,1.2612018186526092e-14,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,1.5,0.1,late,0.754607809904269,0.03681487535653659,3.1824216095963096,0.05241068531390479,3.937029419500579,0.04946732765570518,0.9999999999999982,3.212940164695817e-15,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.01,drop,0.9721003088333687,0.044745422058179385,1.70761971540736,0.04511847114233119,2.6797200242407286,0.033669697210833696,0.9921327014217957,2.4043442600993574e-15,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.01,late,0.08272463903076878,0.01406340276288062,0.31097830291928913,0.012481492549689357,0.39370294195005795,0.004946732765576085,,,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.05,drop,5.091352020861106,0.06717631517142238,8.30724810034246,0.2165343149859321,13.398600121203566,0.16834848605414204,0.9937061611374406,0.001573459715640324,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.05,late,0.4017802377737709,0.047129378259069425,1.5667344719765295,0.03713091855650608,1.9685147097503004,0.024733663827861095,,,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.1,drop,9.76129515951245,0.06304598754773835,17.03590508289466,0.397430088812172,26.797200242407115,0.33669697210829336,0.9965908372827806,0.0009084373903831719,-7.281552095015295e-15,1.2612018186526092e-14,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,2,2.0,0.1,late,0.7717538716441238,0.050619007071068506,3.165275547856455,0.05400794635997204,3.937029419500579,0.04946732765570518,0.9999999999999982,3.212940164695817e-15,0.0,0.0,0.2033,0.005919459434779494,0.3880661521285527,0.007019613346043559
device_0,5,1.5,0.01,drop,0.9334456476051111,0.13473252845084824,1.7603282447713002,0.17102660633937602,2.693773892376411,0.03632978233174972,0.9947551342812003,0.004542186951915115,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,1.5,0.01,late,0.06723364689458747,0.010052881354861687,0.3285340813692459,0.013218676239483154,0.3957677282638334,0.005337550958695706,,,3.709794125950387e-15,6.4255519117666454e-15,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,1.5,0.05,drop,5.127407263801277,0.24634448965077482,8.341462198080764,0.10930254557410277,13.468869461882042,0.18164891165870434,0.9921327014218017,0.0015734597156383118,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,1.5,0.05,late,0.3811815781146424,0.031042795180217582,1.5976570632045242,0.04299731409058427,1.9788386413191665,0.026687754793466092,,,0.0,0.0,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
device_0,5,1.5,0.1,drop,10.15836776680927,0.11117526029678626,16.77937115695481,0.434603385302154,26.937738923764083,0.36329782331740124,0.9884612954186419,0.006110887560263374,-3.540539510596147e-15,1.677989935393886e-14,0.20083333333333334,0.006406507108661737,0.7511817067683525,0.011169953163520497
