N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,device,device_index,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_run_count_mean,violation_run_count_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,allocation_mean_mean,allocation_mean_std,allocation_max_mean,allocation_max_std,allocation_nonzero_rate_mean,allocation_nonzero_rate_std
2,independent,0.0,1.35,0.15,late,device_0,0,J1,0.0715723218710265,2.625454353369114e-05,0.00405,0.0003535533905932739,1.0,0.0,0.0,0.0,40.5,3.5355339059327378,1.0,0.0,0.02165,0.0003535533905932741,0.36955875,0.00020612162671587866,0.865,0.12727922061357852,0.99595,0.00035355339059323483
2,independent,0.0,1.35,0.15,late,device_0,0,J2,0.05770190776806649,0.00011156115290949538,0.14965,0.00021213203435597035,4.5,0.7071067811865476,190.0,8.48528137423857,1274.0,12.727922061357855,0.7654477988488553,0.006947581217868537,0.0,0.0,0.31268675,0.0005738171529329174,1.0,0.0,0.8503499999999999,0.00021213203435605866
2,independent,0.0,1.35,0.15,late,device_1,1,I1,0.08583394776070419,0.001257848683487108,0.00385,0.0007778174593052025,1.5,0.7071067811865476,0.5,0.7071067811865476,38.0,7.0710678118654755,1.0,0.0,0.07289999999999999,0.0016970562748477088,0.49807500000000005,0.0003889087296525779,0.5,0.0,0.9961500000000001,0.0007778174593051558
2,independent,0.0,1.35,0.15,late,device_1,1,I2,0.0626463274650281,0.0009784843436748316,0.15,0.0,4.5,0.7071067811865476,194.0,7.0710678118654755,1267.0,15.556349186104045,0.654,0.019798989873223347,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,independent,0.0,1.35,0.15,late,device_1,1,J1,0.0721116281952232,0.0005286203895254237,0.00385,0.0007778174593052025,1.5,0.7071067811865476,0.5,0.7071067811865476,38.0,7.0710678118654755,1.0,0.0,0.0232,0.0009899494936611692,0.36806324999999995,0.002099753586733443,0.935,0.03535533905932737,0.9961500000000001,0.0007778174593051558
2,independent,0.0,1.35,0.15,late,device_1,1,J2,0.05848589693022262,0.0008874713936626003,0.15,0.0,4.5,0.7071067811865476,189.0,2.8284271247461903,1269.5,0.7071067811865476,0.739,0.0014142135623730963,0.00385,0.0007778174593052025,0.31090975,0.0022404678361895103,0.995,0.007071067811865481,0.85,0.0
2,independent,0.975,1.35,0.15,drop,device_0,0,I1,0.08402764684242514,3.2498182494477544e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,independent,0.975,1.35,0.15,drop,device_0,0,I2,0.04346831000006117,0.0001820454356145817,0.15,0.0,25.0,2.8284271247461903,288.5,9.192388155425117,389.0,14.142135623730951,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,independent,0.975,1.35,0.15,drop,device_0,0,J1,0.07063714072998836,0.00015824024657289204,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.0242,0.0018384776310850222,0.36821750000000003,0.0003443610024378594,0.835,0.08485281374238574,0.9966,0.0
2,independent,0.975,1.35,0.15,drop,device_0,0,J2,0.03952309590017396,0.00021114752376824442,0.15,0.0,26.0,1.4142135623730951,289.0,8.48528137423857,395.5,9.192388155425117,0.9976666666666667,0.0014142135623730963,0.0006000000000000001,0.0007071067811865475,0.30257599999999996,0.000596091016540267,0.9924999999999999,0.010606601717798262,0.85,0.0
2,independent,0.975,1.35,0.15,drop,device_1,1,I1,0.08286454182597805,0.0003046848734158857,0.0031000000000000003,0.00014142135623730972,1.5,0.7071067811865476,0.5,0.7071067811865476,30.5,0.7071067811865476,1.0,0.0,0.06635,0.0010606601717798223,0.49845,7.071067811864696e-05,0.5,0.0,0.9969,0.00014142135623729392
2,independent,0.975,1.35,0.15,drop,device_1,1,I2,0.04354857603363679,0.0005600083839947845,0.15,0.0,26.0,1.4142135623730951,286.0,15.556349186104045,376.5,27.577164466275352,1.0,0.0,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,independent,0.975,1.35,0.15,drop,device_1,1,J1,0.07015350147748628,0.00044890614716992615,0.0031000000000000003,0.00014142135623730972,1.5,0.7071067811865476,0.5,0.7071067811865476,30.5,0.7071067811865476,1.0,0.0,0.0218,0.0007071067811865482,0.36803975,0.0011154609473217854,0.8875,0.04596194077712567,0.9969,0.00014142135623729392
2,independent,0.975,1.35,0.15,drop,device_1,1,J2,0.03954085489295524,0.000356448627333207,0.15,0.0,21.5,7.7781745930520225,289.0,18.384776310850235,389.0,35.35533905932738,0.9956666666666667,0.0032998316455372114,0.0005,0.0007071067811865475,0.302949,0.0010260119395017252,0.995,0.0,0.85,0.0
2,independent,0.975,1.35,0.15,late,device_0,0,I1,0.0846537400614907,2.9676677156457614e-05,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.07185,0.0006363961030678865,0.4983,0.0,0.5,0.0,0.9966,0.0
2,independent,0.975,1.35,0.15,late,device_0,0,I2,0.06166920529910952,0.0001409950538164465,0.15,0.0,10.0,2.8284271247461903,280.0,14.142135623730951,999.0,4.242640687119285,0.6373333333333333,0.0028284271247461927,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,independent,0.975,1.35,0.15,late,device_0,0,J1,0.07126323394905396,0.00015541874123484758,0.0034,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,33.5,0.7071067811865476,1.0,0.0,0.0242,0.0018384776310850222,0.36821750000000003,0.0003443610024378594,0.835,0.08485281374238574,0.9966,0.0
2,independent,0.975,1.35,0.15,late,device_0,0,J2,0.057173545275627236,0.0007139832209160078,0.15,0.0,14.5,2.1213203435596424,284.0,2.8284271247461903,823.0,9.899494936611665,0.7703333333333333,0.008956685895029558,0.0017499999999999998,0.0023334523779156065,0.311211,0.0008096372644585627,0.9975,0.0035355339059327017,0.85,0.0
2,independent,0.975,1.35,0.15,late,device_1,1,I1,0.08343542008196828,0.0003304595951598891,0.0031000000000000003,0.00014142135623730972,1.5,0.7071067811865476,0.5,0.7071067811865476,30.5,0.7071067811865476,1.0,0.0,0.06635,0.0010606601717798223,0.49845,7.071067811864696e-05,0.5,0.0,0.9969,0.00014142135623729392
2,independent,0.975,1.35,0.15,late,device_1,1,I2,0.06135075084920422,0.0005135332685714605,0.15,0.0,9.0,1.4142135623730951,262.5,3.5355339059327378,1045.5,12.020815280171307,0.6100000000000001,0.02074179891480535,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,independent,0.975,1.35,0.15,late,device_1,1,J1,0.0707243797334765,0.0004746808689139639,0.0031000000000000003,0.00014142135623730972,1.5,0.7071067811865476,0.5,0.7071067811865476,30.5,0.7071067811865476,1.0,0.0,0.0218,0.0007071067811865482,0.36803975,0.0011154609473217854,0.8875,0.04596194077712567,0.9969,0.00014142135623729392
2,independent,0.975,1.35,0.15,late,device_1,1,J2,0.05678490611684095,1.1479659291677954e-05,0.14995,7.071067811864696e-05,10.0,0.0,302.0,5.656854249492381,824.0,21.213203435596427,0.7629210584834334,0.000359764357428202,0.0015,0.0021213203435596424,0.31135324999999997,0.0014965915023813035,0.995,0.007071067811865481,0.85005,7.071067811864696e-05
