N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
8,common,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.15,late,0.0,0.11113333333333332,1.0,0.8410446063873921
8,common,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
8,common,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.5,0.15,late,0.0,0.1262333333333333,1.0,0.7260705805500686
8,common,0.75,1.2,0.05,drop,0.0,0.0016333333333333328,1.0,0.9992647279800885
8,common,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.15,late,0.0,0.10886666666666667,1.0,0.8475291784039088
8,common,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
8,common,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.5,0.15,late,0.0,0.12309999999999999,1.0,0.7384377945144677
8,common,0.975,1.2,0.05,drop,0.0,0.0023999999999999994,1.0,0.998591002040095
8,common,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.15,late,0.0,0.11933333333333333,1.0,0.8257079932689803
8,common,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.5,0.05,late,0.0,0.002466666666666668,1.0,0.9994402673052719
8,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.5,0.15,late,0.0,0.13236666666666666,1.0,0.7037798230016096
8,independent,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.05,drop,0.0,0.0228,1.0,0.9658028041726551
8,independent,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.15,late,0.0,0.022766666666666668,1.0,0.9963923724404568
8,independent,0.0,1.5,0.05,drop,0.0,0.0009666666666666666,1.0,0.9998756027150938
8,independent,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.5,0.15,late,0.0,0.11583333333333333,1.0,0.6015310293758237
8,independent,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.35,0.05,drop,0.0,0.0064333333333333334,1.0,0.9933896938951242
8,independent,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.35,0.15,late,0.0,0.014933333333333326,1.0,0.9983302432423643
8,independent,0.75,1.5,0.05,drop,0.0,0.0003666666666666679,1.0,0.999982257657193
8,independent,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.5,0.15,late,0.0,0.11796666666666666,1.0,0.6081363612700174
8,independent,0.975,1.2,0.05,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.05,drop,0.0,0.007133333333333332,1.0,0.9882606642980137
8,independent,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.35,0.15,late,0.0,0.021666666666666657,1.0,0.9965312524734159
8,independent,0.975,1.5,0.05,drop,0.0,0.00030000000000000165,1.0,0.9999885987494169
8,independent,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.975,1.5,0.15,late,0.0,0.11343333333333333,1.0,0.6037008286583264
