N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,0.2401786000118591,10000,20
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,0.24282529999618419,10000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.05,late,0.24626259999058675,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.05,late,0.2443500000081258,10000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.05,late,0.24196240000310354,10000,20
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.05,late,0.24594660000002477,10000,20
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.05,late,0.2463212000002386,10000,20
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.05,late,0.244988899998134,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.05,late,0.24323680000088643,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.05,late,0.23996920000354294,10000,20
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.05,late,0.2455476000031922,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.05,late,0.26373430000967346,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.05,late,0.265136199988774,10000,20
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.05,late,0.2653257000056328,10000,20
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.05,late,0.25790369999594986,10000,20
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.05,late,0.25635049999982584,10000,20
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.05,late,0.25950259999081027,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.05,late,0.25086600000213366,10000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.05,late,0.2545024999999441,10000,20
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.05,late,0.25403119999100454,10000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,0.22931209999660496,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0.22734209999907762,10000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.15,drop,0.22955059999367222,10000,20
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.15,drop,0.22310210000432562,10000,20
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.15,drop,0.2386796999926446,10000,20
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.15,drop,0.22632230000454,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,0.22237489999679383,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,0.22237940000195522,10000,20
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.15,drop,0.22173849999671802,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,0.27138079999713227,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0.2598048000072595,10000,20
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.15,drop,0.2733700999961002,10000,20
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.15,drop,0.2769605999928899,10000,20
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.15,drop,0.27923509999527596,10000,20
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.15,drop,0.2820301999890944,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,0.2651810000097612,10000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,0.2563090000039665,10000,20
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.15,drop,0.2590539000084391,10000,20
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,0.2661757000023499,10000,20
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,0.27621939999517053,10000,20
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.15,late,0.2691844999935711,10000,20
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.15,late,0.2685599000105867,10000,20
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.15,late,0.26000400001066737,10000,20
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.15,late,0.2644854999962263,10000,20
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,0.2584326000069268,10000,20
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,0.2528539000049932,10000,20
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.15,late,0.2551610999944387,10000,20
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,0.318052099988563,10000,20
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,0.3135928999981843,10000,20
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.15,late,0.30792410000867676,10000,20
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.15,late,0.3210438000096474,10000,20
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.15,late,0.31905360000382643,10000,20
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.15,late,0.30725229998643044,10000,20
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,0.2987405000021681,10000,20
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,0.30828420000034384,10000,20
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.15,late,0.31020530000387225,10000,20
2,independent,0.0,1701,1.5,67.485,44.99,0.05,drop,0.27134940000541974,10000,20
2,independent,0.0,1702,1.5,67.485,44.99,0.05,drop,0.24796960000821855,10000,20
2,independent,0.0,1703,1.5,67.485,44.99,0.05,drop,0.25778519999585114,10000,20
2,independent,0.75,1701,1.5,67.485,44.99,0.05,drop,0.22605109999130946,10000,20
2,independent,0.75,1702,1.5,67.485,44.99,0.05,drop,0.26722910000535194,10000,20
2,independent,0.75,1703,1.5,67.485,44.99,0.05,drop,0.29103249999752734,10000,20
2,independent,0.975,1701,1.5,67.485,44.99,0.05,drop,0.236581400007708,10000,20
2,independent,0.975,1702,1.5,67.485,44.99,0.05,drop,0.27544420000049286,10000,20
2,independent,0.975,1703,1.5,67.485,44.99,0.05,drop,0.22643339999194723,10000,20
2,common,0.0,1701,1.5,67.485,44.99,0.05,drop,0.22694269999919925,10000,20
2,common,0.0,1702,1.5,67.485,44.99,0.05,drop,0.2234731000062311,10000,20
2,common,0.0,1703,1.5,67.485,44.99,0.05,drop,0.2338908999954583,10000,20
2,common,0.75,1701,1.5,67.485,44.99,0.05,drop,0.22438999998848885,10000,20
2,common,0.75,1702,1.5,67.485,44.99,0.05,drop,0.2688627999887103,10000,20
2,common,0.75,1703,1.5,67.485,44.99,0.05,drop,0.23068910000438336,10000,20
2,common,0.975,1701,1.5,67.485,44.99,0.05,drop,0.22173590000602417,10000,20
2,common,0.975,1702,1.5,67.485,44.99,0.05,drop,0.2218144999933429,10000,20
2,common,0.975,1703,1.5,67.485,44.99,0.05,drop,0.2203221000090707,10000,20
2,independent,0.0,1701,1.5,67.485,44.99,0.05,late,0.24273189999803435,10000,20
2,independent,0.0,1702,1.5,67.485,44.99,0.05,late,0.23751449999690522,10000,20
2,independent,0.0,1703,1.5,67.485,44.99,0.05,late,0.23346940000192262,10000,20
2,independent,0.75,1701,1.5,67.485,44.99,0.05,late,0.2407249999960186,10000,20
2,independent,0.75,1702,1.5,67.485,44.99,0.05,late,0.2397997999942163,10000,20
2,independent,0.75,1703,1.5,67.485,44.99,0.05,late,0.2429201000049943,10000,20
2,independent,0.975,1701,1.5,67.485,44.99,0.05,late,0.23960219998843968,10000,20
2,independent,0.975,1702,1.5,67.485,44.99,0.05,late,0.23372220000601374,10000,20
2,independent,0.975,1703,1.5,67.485,44.99,0.05,late,0.24043770000571385,10000,20
2,common,0.0,1701,1.5,67.485,44.99,0.05,late,0.25720199999341276,10000,20
2,common,0.0,1702,1.5,67.485,44.99,0.05,late,0.2496192999969935,10000,20
