N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,I2_violation_spread_mean,J2_violation_spread_mean,I2_jain_index_mean,J2_jain_index_mean
4,common,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.35,0.15,late,0.0,0.03277399999999999,1.0,0.9906717219007012
4,common,0.75,1.5,0.05,drop,0.0,0.00011400000000000021,1.0,0.999986704314178
4,common,0.75,1.5,0.05,late,0.0,0.001181999999999999,1.0,0.9998730836356934
4,common,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.75,1.5,0.15,late,0.0,0.038181999999999994,1.0,0.9872856817797027
4,common,0.975,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.35,0.15,late,0.0,0.033027999999999995,1.0,0.9906252135394098
4,common,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.5,0.05,late,0.0,0.0009820000000000009,1.0,0.9998450125622348
4,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,common,0.975,1.5,0.15,late,0.0,0.038858,1.0,0.9867681518710855
4,independent,0.0,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.2,0.15,drop,0.0,2.5999999999998247e-05,1.0,0.9999999716542444
4,independent,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.05,drop,0.0,0.0008939999999999996,1.0,0.9987020989500005
4,independent,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.35,0.15,late,0.0,0.00015199999999999936,1.0,0.999998064911896
4,independent,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.0,1.5,0.15,late,0.0,0.009555999999999995,1.0,0.9993265130157869
4,independent,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.2,0.15,drop,0.0,4.200000000000037e-05,1.0,0.9999999602045175
4,independent,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.05,drop,0.0,0.0019240000000000004,1.0,0.9968698139174391
4,independent,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.35,0.15,late,0.0,0.0014219999999999955,1.0,0.9999357796443681
4,independent,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.75,1.5,0.15,late,0.0,0.011205999999999994,1.0,0.9988919353859462
4,independent,0.975,1.2,0.05,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.2,0.15,drop,0.0,2.999999999999392e-05,1.0,0.999999968982911
4,independent,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.05,drop,0.0,0.0025560000000000005,1.0,0.9964153173997146
4,independent,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.35,0.15,late,0.0,0.0024699999999999943,1.0,0.9999277158016946
4,independent,0.975,1.5,0.05,drop,0.0,0.0021140000000000004,1.0,0.995842150476941
4,independent,0.975,1.5,0.05,late,0.0,0.0,1.0,1.0
4,independent,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
4,independent,0.975,1.5,0.15,late,0.0,0.012455999999999995,1.0,0.9988620082585469
8,common,0.0,1.2,0.05,drop,0.0,0.0006200000000000001,1.0,0.9998646099708394
8,common,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.35,0.15,late,0.0,0.11340599999999998,1.0,0.8363765264713242
8,common,0.0,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.5,0.05,late,0.0,0.0004299999999999984,1.0,0.9999740802621737
8,common,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.0,1.5,0.15,late,0.0,0.128382,1.0,0.7158969560547663
8,common,0.75,1.2,0.05,drop,0.0,0.0002259999999999998,1.0,0.99994899901754
8,common,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.35,0.15,late,0.0,0.11136399999999999,1.0,0.8398008540896809
8,common,0.75,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.5,0.05,late,0.0,0.0003859999999999995,1.0,0.9999677624403498
8,common,0.75,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.75,1.5,0.15,late,0.0,0.12625,1.0,0.7235963341290366
8,common,0.975,1.2,0.05,drop,0.0,0.0001559999999999999,1.0,0.9999781051294123
8,common,0.975,1.2,0.05,late,0.0,0.0,1.0,1.0
8,common,0.975,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.2,0.15,late,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.05,late,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.35,0.15,late,0.0,0.113228,1.0,0.8356749087812597
8,common,0.975,1.5,0.05,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.5,0.05,late,0.0,0.001027999999999999,1.0,0.9999193281452298
8,common,0.975,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,common,0.975,1.5,0.15,late,0.0,0.12805,1.0,0.7161079407718833
8,independent,0.0,1.2,0.05,drop,0.0,4.000000000000531e-06,1.0,0.9999999929986002
8,independent,0.0,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.2,0.15,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.05,drop,0.0,0.006006,1.0,0.9964686267633839
8,independent,0.0,1.35,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.35,0.15,late,0.0,0.020993999999999992,1.0,0.9968714917531607
8,independent,0.0,1.5,0.05,drop,0.0,0.000342000000000002,1.0,0.9999840776046275
8,independent,0.0,1.5,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.0,1.5,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.0,1.5,0.15,late,0.0,0.11529400000000001,1.0,0.607009136876911
8,independent,0.75,1.2,0.05,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.05,late,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.15,drop,0.0,0.0,1.0,1.0
8,independent,0.75,1.2,0.15,late,0.0,0.0,1.0,1.0
