N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_J1,True,"{""I1"": 0.16800933431441412, ""I2"": 0.08667916887610809, ""J1"": 0.15471487699933964, ""J2"": 0.08362393551763055}",required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.16800933431441412, ""I2"": 0.08667916887610809, ""J1"": 0.15471487699933964, ""J2"": 0.08362393551763055}",required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.16800933431441412, ""I2"": 0.08667916887610809, ""J1"": 0.15471487699933964, ""J2"": 0.08362393551763055}",required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=34 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=34 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=34 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=34 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1500 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1494 budget=1500,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=7.105427357601002e-15,required
2.0,common,0.975,1701.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_I2,True,"{""I1"": 0.16810125305528645, ""I2"": 0.0871940711241366, ""J1"": 0.1550247983823703, ""J2"": 0.08377041421326366}",required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J2_le_J1,True,"{""I1"": 0.16810125305528645, ""I2"": 0.0871940711241366, ""J1"": 0.1550247983823703, ""J2"": 0.08377041421326366}",required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_J1_le_I1,True,"{""I1"": 0.16810125305528645, ""I2"": 0.0871940711241366, ""J1"": 0.1550247983823703, ""J2"": 0.08377041421326366}",required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,energy_I2_le_I1,True,"{""I1"": 0.16810125305528645, ""I2"": 0.0871940711241366, ""J1"": 0.1550247983823703, ""J2"": 0.08377041421326366}",required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I1_within_one,True,max=1,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_0,True,count=34 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I1_device_1,True,count=34 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J1_within_one,True,max=1,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_0,True,count=34 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J1_device_1,True,count=34 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_I2_within_one,True,max=1,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,capacity_J2_within_one,True,max=1,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_0,True,count=1500 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,budget_J2_device_1,True,count=1487 budget=1500,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,decomposition_total_identity,True,error_pp=0.0,required
2.0,common,0.975,1702.0,1.35,60.73650000000001,44.99,0.15,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,energy_J2_le_I2,True,"{""I1"": 0.17229834659013482, ""I2"": 0.12610708907290863, ""J1"": 0.14407630589412623, ""J2"": 0.11673645609111773}",required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,energy_J2_le_J1,True,"{""I1"": 0.17229834659013482, ""I2"": 0.12610708907290863, ""J1"": 0.14407630589412623, ""J2"": 0.11673645609111773}",required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,energy_J1_le_I1,True,"{""I1"": 0.17229834659013482, ""I2"": 0.12610708907290863, ""J1"": 0.14407630589412623, ""J2"": 0.11673645609111773}",required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,energy_I2_le_I1,True,"{""I1"": 0.17229834659013482, ""I2"": 0.12610708907290863, ""J1"": 0.14407630589412623, ""J2"": 0.11673645609111773}",required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,capacity_I1_within_one,True,max=1,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_I1_device_0,True,count=38 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_I1_device_1,True,count=44 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,capacity_J1_within_one,True,max=1,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_J1_device_0,True,count=38 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_J1_device_1,True,count=44 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,capacity_I2_within_one,True,max=1,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_I2_device_0,True,count=1500 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_I2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,capacity_J2_within_one,True,max=1,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_J2_device_0,True,count=1498 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,budget_J2_device_1,True,count=1500 budget=1500,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,decomposition_total_identity,True,error_pp=-3.552713678800501e-15,required
2.0,independent,0.0,1701.0,1.35,60.73650000000001,44.99,0.15,late,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
