N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,check,passed,detail,severity
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.2326126507489509, ""I2"": 0.2100512069812541, ""J1"": 0.2082041250746609, ""J2"": 0.17728488153807126}",required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.2326126507489509, ""I2"": 0.2100512069812541, ""J1"": 0.2082041250746609, ""J2"": 0.17728488153807126}",required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,energy_J1_le_I1,True,"{""I1"": 0.2326126507489509, ""I2"": 0.2100512069812541, ""J1"": 0.2082041250746609, ""J2"": 0.17728488153807126}",required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,energy_I2_le_I1,True,"{""I1"": 0.2326126507489509, ""I2"": 0.2100512069812541, ""J1"": 0.2082041250746609, ""J2"": 0.17728488153807126}",required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,capacity_I1_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_0,True,count=214 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_I1_device_1,True,count=214 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,capacity_J1_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_0,True,count=214 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_J1_device_1,True,count=214 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,capacity_I2_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_0,True,count=500 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_I2_device_1,True,count=500 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,capacity_J2_within_one,True,max=1,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_0,True,count=365 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,budget_J2_device_1,True,count=500 budget=500,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,J1_violation_sets_equal_I1,True,per-device violation arrays compared exactly,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,decomposition_total_identity,True,error_pp=-1.7763568394002505e-15,required
2.0,common,0.0,1701.0,1.2,53.988,44.99,0.05,drop,J2_repair_or_guard_feasible,True,source=heuristic repair_success=True,required
2.0,common,0.0,1702.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_I2,True,"{""I1"": 0.2316283115162696, ""I2"": 0.2092290760456015, ""J1"": 0.20862783743173546, ""J2"": 0.17582917983137053}",required
2.0,common,0.0,1702.0,1.2,53.988,44.99,0.05,drop,energy_J2_le_J1,True,"{""I1"": 0.2316283115162696, ""I2"": 0.2092290760456015, ""J1"": 0.20862783743173546, ""J2"": 0.17582917983137053}",required
