N,channel_sync,rho,deadline_ratio,epsilon,skip_mode,device,device_index,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_run_count_mean,violation_run_count_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,allocation_mean_mean,allocation_mean_std,allocation_max_mean,allocation_max_std,allocation_nonzero_rate_mean,allocation_nonzero_rate_std
2,common,0.0,1.35,0.15,drop,device_1,1,J1,0.07777539867417468,0.0007348461939041061,0.0038999999999999994,0.000360555127546399,1.0,0.0,0.0,0.0,39.0,3.605551275463989,1.0,0.0,0.04950000000000001,0.0013228756555322965,0.35736349999999995,0.0007834080992688007,0.705,0.0,0.9960999999999999,0.0003605551275463592
2,common,0.0,1.35,0.15,drop,device_1,1,J2,0.04234028537737506,0.001152174353029555,0.15,0.0,4.333333333333333,0.5773502691896257,193.0,8.54400374531753,1269.0,9.16515138991168,0.9637777777777777,0.06273872925193935,0.0026333333333333334,0.0023072349974229615,0.30243983333333335,0.0049354993246209095,0.9016666666666667,0.17031832941093958,0.85,0.0
2,common,0.0,1.35,0.15,late,device_0,0,I1,0.08530223309646755,0.00125904341554152,0.0038999999999999994,0.000360555127546399,1.0,0.0,0.0,0.0,39.0,3.605551275463989,1.0,0.0,0.0714,0.0037986839826445137,0.49804999999999994,0.0001802775637731796,0.5,0.0,0.9960999999999999,0.0003605551275463592
2,common,0.0,1.35,0.15,late,device_0,0,I2,0.0623756390977202,0.0006580740537792361,0.15,0.0,4.666666666666667,0.5773502691896258,192.66666666666666,7.094598884597584,1272.3333333333333,8.32666399786454,0.6433333333333334,0.02802379940931158,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.0,1.35,0.15,late,device_0,0,J1,0.07822605769264257,0.0007030152856760546,0.0038999999999999994,0.000360555127546399,1.0,0.0,0.0,0.0,39.0,3.605551275463989,1.0,0.0,0.04836666666666667,0.001650252505931542,0.35749733333333333,0.0010044678109990888,0.705,0.0,0.9960999999999999,0.0003605551275463592
2,common,0.0,1.35,0.15,late,device_0,0,J2,0.059442224026940986,0.0007099008507958939,0.12943333333333332,0.017814694309286727,4.0,0.0,147.33333333333334,32.14550253664318,1122.0,136.0404351654316,0.6030258136924803,0.004140189429562533,0.0012,0.002078460969082653,0.320555,0.015413580286552521,1.0,0.0,0.8705666666666666,0.0178146943092867
2,common,0.0,1.35,0.15,late,device_1,1,I1,0.08530223309646755,0.00125904341554152,0.0038999999999999994,0.000360555127546399,1.0,0.0,0.0,0.0,39.0,3.605551275463989,1.0,0.0,0.0714,0.0037986839826445137,0.49804999999999994,0.0001802775637731796,0.5,0.0,0.9960999999999999,0.0003605551275463592
2,common,0.0,1.35,0.15,late,device_1,1,I2,0.0623756390977202,0.0006580740537792361,0.15,0.0,4.666666666666667,0.5773502691896258,192.66666666666666,7.094598884597584,1272.3333333333333,8.32666399786454,0.6433333333333334,0.02802379940931158,0.0,0.0,0.425,0.0,0.5,0.0,0.85,0.0
2,common,0.0,1.35,0.15,late,device_1,1,J1,0.07849341848494927,0.0007794156362720378,0.0038999999999999994,0.000360555127546399,1.0,0.0,0.0,0.0,39.0,3.605551275463989,1.0,0.0,0.04950000000000001,0.0013228756555322965,0.35736349999999995,0.0007834080992688007,0.705,0.0,0.9960999999999999,0.0003605551275463592
2,common,0.0,1.35,0.15,late,device_1,1,J2,0.060059253970474735,0.001761513684541201,0.13863333333333333,0.019687644179366234,4.666666666666667,0.5773502691896258,176.66666666666666,39.31072796748151,1184.0,148.46211637990345,0.6338468027993481,0.018823915572142674,0.0026999999999999997,0.0023515952032609694,0.31292766666666666,0.0139887886388827,1.0,0.0,0.8613666666666666,0.019687644179366266
2,common,0.0,1.5,0.05,drop,device_0,0,I1,0.06792646772086751,0.0005187673947261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.015766666666666665,0.0010016652800877806,0.5,0.0,0.5,0.0,1.0,0.0
2,common,0.0,1.5,0.05,drop,device_0,0,I2,0.055729020802944805,0.0003462147441707884,0.05000000000000001,0.0,3.0,0.0,25.666666666666668,5.507570547286103,472.3333333333333,5.507570547286109,1.0,0.0,0.0,0.0,0.4749999999999999,0.0,0.5,0.0,0.9499999999999998,0.0
2,common,0.0,1.5,0.05,drop,device_0,0,J1,0.0660748396937028,0.0005838674559576165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0106,0.0006244997998398404,0.3038783333333333,0.0005732652818140139,0.745,0.0,1.0,0.0
2,common,0.0,1.5,0.05,drop,device_0,0,J2,0.055258653224858324,0.0011603442573953355,0.05000000000000001,0.0,3.0,0.0,25.666666666666668,5.507570547286103,472.3333333333333,5.507570547286109,1.0,0.0,0.0,0.0,0.41466866666666663,0.10449693462170712,0.6666666666666666,0.2886751345948129,0.9499999999999998,0.0
2,common,0.0,1.5,0.05,drop,device_1,1,I1,0.06792646772086751,0.0005187673947261736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.015766666666666665,0.0010016652800877806,0.5,0.0,0.5,0.0,1.0,0.0
2,common,0.0,1.5,0.05,drop,device_1,1,I2,0.055729020802944805,0.0003462147441707884,0.05000000000000001,0.0,3.0,0.0,25.666666666666668,5.507570547286103,472.3333333333333,5.507570547286109,1.0,0.0,0.0,0.0,0.4749999999999999,0.0,0.5,0.0,0.9499999999999998,0.0
2,common,0.0,1.5,0.05,drop,device_1,1,J1,0.06604809699725105,0.0004828923408774548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010466666666666666,0.0008962886439832496,0.3037026666666667,0.0011448067886474908,0.7399999999999999,0.0050000000000000044,1.0,0.0
2,common,0.0,1.5,0.05,drop,device_1,1,J2,0.05599952813925444,0.00012539505064394175,0.047933333333333335,0.0035795716689756823,3.0,0.0,25.333333333333332,6.027713773341707,452.0,30.4138126514911,0.9695585996955861,0.05272605198078774,0.0,0.0,0.41206883333333333,0.10899997804625162,0.58,0.13856406460551018,0.9520666666666666,0.0035795716689757504
