N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,6b058ce10b25f34aaf150ea1ea9dfbaf17eb27b9a70589e7d9ec6292530090bf
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,97350942117350f068c961f4fbdc7110de7cfb01b8899a2aabe8daa7852de1f5
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,7e6e1ae94ebc99e381f9e5044802e29bf5f7bd391096dc5cd4b75e27c739662b
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,238363ee8a8887c86e8b1614ee544e102e457a07cdb7f153f1e3e1f4c9d28c78
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.05,drop,3b75010f69aac415518a2b50df43e9f8b454af8f3864bb3c9e446773bcc314a8
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.05,drop,5460fab95764650646c956c8c6b57b3adca13fd5edf84353be411009856f28ae
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.05,drop,3c9cf0b74ecfc3665194e2cb2302da9cc0e8a800e284e1a30e8a2ada66fb0dd0
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.05,drop,93c3e2cb9d1b6a4db0a10ec5fce1ae071bdfd487fe86c0aa070eaa2926a8437e
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.05,drop,e7fc38e5fe9a2f297fe96f2a6c80a3b9871911b5b24580ded5132d305992581d
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.05,drop,1c7b0942805436c625695c83d9aa2e343afff133112efa8447f0736358a67ce9
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.05,drop,d27bffa52f93774e9429a1087bc253672a40ff275f955368bb27d5ab99b7d53a
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.05,drop,e6580610f46477ac73cfb5d11fd00e97fecd3f44fd43a096628f545bfe868f78
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.05,drop,4ef8c64dc74d530051b516ebc321899815182ce1f3d95c8d686ea6fb14f1b48a
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.05,late,bf9b4769e0e8eb53cf6d683c85ec4f582137764e2c85393643dc6e8fdcca4200
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.05,late,1f6a9354bbf61c1162136c28736e88df0391bb48cfb89ae5f80a50d88fa30ccf
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.05,late,280de2cf056dc41daaaa2a25dee230df72a05b9bff97737f4ff04488c8a1d0ae
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.05,late,c8ed8f79f257216bb429d88aaa1191775bdb81f8a63ca847c1fb36127335c096
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.05,late,964986e15003fbabc33a889581fdbdbc0db47024225d50c8efec4a80f909d09a
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.05,late,c3e3aafb68e20171eac88e7c922704d63abb3065ebaa68e539b271d114e81a5b
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.05,late,a9fe0ab790ede43a15d8453c91cc5ad27aad86fa0f001faf5c11a92b0feeb788
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.05,late,239dc0d7dddaf2705ea8b37e7df74dc12a030610b447f85d3e24f24d25e315e0
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.05,late,41c20716394bd67a6bf7019022e6b5ecb4d8ae6c18ec769369ebe96c183f42e0
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.05,late,f2b97e166a35ee34ef66e8eeea3604779f5e00e3efd22917955c0ef31051a218
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.05,late,4e933e713e2291af0099f218299494570515663ce9d5bc838045c4d4bd6e34cc
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.05,late,42b55724661657494787fb286faf810addb85b7ff1aea8a1edbf3540a09b7d10
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.05,late,da9b4fc9497a839018df8ca0953f2538bd41f0a76905349b3cd438409646d8a0
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.05,late,3c7b980800be2ea111e9dece56b47d07492bd67c2908f674e7afdfd1de894d65
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.05,late,72866069dc272ab96ecedece47499b57249cea1b31c65a373ce99f778d1c6d64
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.05,late,e99f1d0ed25a91680bc6e4abd43a66d355ec94a4d8d64ca37f9e8bf791475e29
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.05,late,c081cd8a320d1e0f3b7f5d170d8e77827079086afcc5ff5c28bdb8d5a168fb11
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.05,late,b24ced6e87a0052b1d87c1b63e8db2553009ba9743134ab5e14f47d67880549b
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,2675d69c578ebef756f802f481013a27c19734022b4c3234c5d84ed90489fe5e
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,4024df3b8c0e494b282db1ccb993e0949de172a4cf45bf3367114ef0ab40c076
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.15,drop,080cb62ee55dde0d6f4d0552bbf20cfb3e030baa9934c2dbc431c49618150dcf
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.15,drop,db0508a5a22f4023234ba6bf817091b92841e0c77e9459d05f60577fe7073fa2
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.15,drop,473fc616a6a2a0e2a96cbe7e86c7472f374dd9547c37f2bec52072f054e916c8
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.15,drop,51ad22759fba714cedde6ebd26ab39f0f7ca941bbe6d7a26334f8c3583ce6e4b
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,b107e62e2959ce7770fa59c0703612986db689cd6770cfa169f71dfd54b58c99
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,627bf1705a842e51bbd558408a02c9304c76c8cd4317e39ab04245b5ca2e6213
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.15,drop,66ff9b03b9b44da547deb5aab19e893ea78da990deded82188d5cc9e4cd4593b
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,drop,386b81bdc006cf366913e2892ac0371efd1fe2c0d7a2ca2f97eb0c78242af1c9
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,drop,0d167bb7c1291e06089bb76a97539a4f052b8b73e633512fd2ea1b1420e0f921
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.15,drop,6f9e371dcbe0e732a4ebcb2d5a523ceea5d587248f07313d0c989f61689acf99
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.15,drop,cec2a004e7bb277fc4f478bf2290ed7c68916ccc4dde0dfe03ab6e90968bd04f
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.15,drop,21c79ed6d58bc57ae98479a5c02b440240dca32ef23da03357ed9a5b8040c933
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.15,drop,02bbd3939e9adfddde01ffffa66206678c6fe9f422443f8501092b1524d5a694
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,drop,f19d3e9ac65e3c56a0f0535389d43e755433259f78f341723467b2ce8bc85a4f
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,drop,276e20eb733b49f83a0d71ff5b00bdb2277c1c82806cc80b287ca0eb7ead786b
2,common,0.975,1703,1.35,60.73650000000001,44.99,0.15,drop,529f610afb0d51b23c131deaeb3278360081fa0e69a0e380f8605989908aa350
2,independent,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,d8779544b00e36087e31a19904a0aa0df1d8862c8f10585a3a4534834be0e509
2,independent,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,5c60c929654e22f69b6afdb72308ad56513e2772627e010d110736ffbbaf424d
2,independent,0.0,1703,1.35,60.73650000000001,44.99,0.15,late,133bee6954ee1168a3c14f0a8161c71d3e3ea5f711de19fad7869e77347c122d
2,independent,0.75,1701,1.35,60.73650000000001,44.99,0.15,late,c9998479340ace42cac217a92b8f1823c64047b873b29aa175e7f1ff068c10cb
2,independent,0.75,1702,1.35,60.73650000000001,44.99,0.15,late,aa4f21951ce20a7b75db6a8cc20f0e6579bc631937406fff688bd75d9b432f0c
2,independent,0.75,1703,1.35,60.73650000000001,44.99,0.15,late,2e422e1f1fe7eb1e9e4255caab9331f6005d4e5bc209f579289e21f330df0868
2,independent,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,a8171e79dad3aaf18e0c438b7b6fb836d9475d0e024abeef2338b83f07c15353
2,independent,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,9ce5070183e790524d28051cc86b7a4e68fa4ca6d2aa3e4ee5e0c46ae606753d
2,independent,0.975,1703,1.35,60.73650000000001,44.99,0.15,late,354e529f8ab28f484e8f1f1679a6aa5706de9407146d93194e0a9c2d903b85ed
2,common,0.0,1701,1.35,60.73650000000001,44.99,0.15,late,353b7c67a977efc23227fb566155b1ee0251924f0be855fd48f38bf0e62edad5
2,common,0.0,1702,1.35,60.73650000000001,44.99,0.15,late,102eaab6ea580c66cfed7a81d8f45a344645f10d73c4c8396b75f20627eb640c
2,common,0.0,1703,1.35,60.73650000000001,44.99,0.15,late,35d07fc773b31a615ec41117e212fe74f897abd40e7df09d04d73aaca72047c7
2,common,0.75,1701,1.35,60.73650000000001,44.99,0.15,late,ed2e8ed9494fea3395b46b835d8e43c1854946fca781474fa4ffbe0e7d6e1c5a
2,common,0.75,1702,1.35,60.73650000000001,44.99,0.15,late,b135f17c3385cddd588058f6833fa17062916fc84bbf47d3838fa6c933d8be22
2,common,0.75,1703,1.35,60.73650000000001,44.99,0.15,late,9c585679567d9cc9427b74537936c6ebc22080b0ba1341871fdb4be0ce85a50e
2,common,0.975,1701,1.35,60.73650000000001,44.99,0.15,late,9c6add03c62c8709a1320c294b191e958b5d897401a3600675726c8a88f7719f
2,common,0.975,1702,1.35,60.73650000000001,44.99,0.15,late,eef1626f7628d8242680d2db3d42a8a37a265521c926a70825812b870edbcfbc
