N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,elapsed_seconds,slots,J2_iterations
2,common,0.0,1704,1.2,53.988,44.99,0.05,late,3.2886884000035934,50000,20
2,common,0.0,1705,1.2,53.988,44.99,0.05,late,4.204896000010194,50000,20
2,common,0.0,1706,1.2,53.988,44.99,0.05,late,4.023058500009938,50000,20
2,common,0.0,1707,1.2,53.988,44.99,0.05,late,4.912458999999217,50000,20
2,common,0.0,1708,1.2,53.988,44.99,0.05,late,4.812575900010415,50000,20
2,common,0.0,1709,1.2,53.988,44.99,0.05,late,5.644700099990587,50000,20
2,common,0.0,1710,1.2,53.988,44.99,0.05,late,4.084436699995422,50000,20
2,common,0.75,1701,1.2,53.988,44.99,0.05,late,3.490592200003448,50000,20
2,common,0.75,1702,1.2,53.988,44.99,0.05,late,4.038987299994915,50000,20
2,common,0.75,1703,1.2,53.988,44.99,0.05,late,3.7490643999917665,50000,20
2,common,0.75,1704,1.2,53.988,44.99,0.05,late,3.4326068999944255,50000,20
2,common,0.75,1705,1.2,53.988,44.99,0.05,late,3.8028121999959694,50000,20
2,common,0.75,1706,1.2,53.988,44.99,0.05,late,3.698093199986033,50000,20
2,common,0.75,1707,1.2,53.988,44.99,0.05,late,3.4001000999996904,50000,20
2,common,0.75,1708,1.2,53.988,44.99,0.05,late,3.7407674999994924,50000,20
2,common,0.75,1709,1.2,53.988,44.99,0.05,late,3.829255499993451,50000,20
2,common,0.75,1710,1.2,53.988,44.99,0.05,late,3.799199300003238,50000,20
2,common,0.975,1701,1.2,53.988,44.99,0.05,late,4.266607600002317,50000,20
2,common,0.975,1702,1.2,53.988,44.99,0.05,late,4.531928499985952,50000,20
2,common,0.975,1703,1.2,53.988,44.99,0.05,late,2.8732869000086794,50000,20
2,common,0.975,1704,1.2,53.988,44.99,0.05,late,4.241763100013486,50000,20
2,common,0.975,1705,1.2,53.988,44.99,0.05,late,3.795296700001927,50000,20
2,common,0.975,1706,1.2,53.988,44.99,0.05,late,3.025209699990228,50000,20
2,common,0.975,1707,1.2,53.988,44.99,0.05,late,3.6329319000069518,50000,20
2,common,0.975,1708,1.2,53.988,44.99,0.05,late,3.1316525000002002,50000,20
2,common,0.975,1709,1.2,53.988,44.99,0.05,late,4.125921099999687,50000,20
2,common,0.975,1710,1.2,53.988,44.99,0.05,late,3.6287374000094132,50000,20
2,independent,0.0,1701,1.2,53.988,44.99,0.15,drop,1.178131900000153,50000,20
2,independent,0.0,1702,1.2,53.988,44.99,0.15,drop,1.1846091000043089,50000,20
2,independent,0.0,1703,1.2,53.988,44.99,0.15,drop,1.205996700009564,50000,20
2,independent,0.0,1704,1.2,53.988,44.99,0.15,drop,1.1961145000095712,50000,20
2,independent,0.0,1705,1.2,53.988,44.99,0.15,drop,1.1793906000093557,50000,20
2,independent,0.0,1706,1.2,53.988,44.99,0.15,drop,1.2057957999932114,50000,20
2,independent,0.0,1707,1.2,53.988,44.99,0.15,drop,1.2033464999985881,50000,20
2,independent,0.0,1708,1.2,53.988,44.99,0.15,drop,1.20427469999413,50000,20
2,independent,0.0,1709,1.2,53.988,44.99,0.15,drop,1.1850081000011414,50000,20
2,independent,0.0,1710,1.2,53.988,44.99,0.15,drop,1.1843345000088448,50000,20
2,independent,0.75,1701,1.2,53.988,44.99,0.15,drop,1.2038739999989048,50000,20
2,independent,0.75,1702,1.2,53.988,44.99,0.15,drop,1.2293439000059152,50000,20
2,independent,0.75,1703,1.2,53.988,44.99,0.15,drop,1.1959730999951717,50000,20
2,independent,0.75,1704,1.2,53.988,44.99,0.15,drop,1.1798770000023069,50000,20
2,independent,0.75,1705,1.2,53.988,44.99,0.15,drop,1.198489200003678,50000,20
2,independent,0.75,1706,1.2,53.988,44.99,0.15,drop,1.1661593000026187,50000,20
2,independent,0.75,1707,1.2,53.988,44.99,0.15,drop,1.2273461000004318,50000,20
2,independent,0.75,1708,1.2,53.988,44.99,0.15,drop,1.1693701000040164,50000,20
2,independent,0.75,1709,1.2,53.988,44.99,0.15,drop,1.1838606000092113,50000,20
2,independent,0.75,1710,1.2,53.988,44.99,0.15,drop,1.18730739998864,50000,20
2,independent,0.975,1701,1.2,53.988,44.99,0.15,drop,1.1994295000040438,50000,20
2,independent,0.975,1702,1.2,53.988,44.99,0.15,drop,1.1956117999943672,50000,20
2,independent,0.975,1703,1.2,53.988,44.99,0.15,drop,1.1940105000103358,50000,20
2,independent,0.975,1704,1.2,53.988,44.99,0.15,drop,1.227278300008038,50000,20
2,independent,0.975,1705,1.2,53.988,44.99,0.15,drop,1.2076544000010472,50000,20
2,independent,0.975,1706,1.2,53.988,44.99,0.15,drop,1.217032599990489,50000,20
2,independent,0.975,1707,1.2,53.988,44.99,0.15,drop,1.2179700000124285,50000,20
2,independent,0.975,1708,1.2,53.988,44.99,0.15,drop,1.2364802000083728,50000,20
2,independent,0.975,1709,1.2,53.988,44.99,0.15,drop,1.2416823000094155,50000,20
2,independent,0.975,1710,1.2,53.988,44.99,0.15,drop,1.2212151999992784,50000,20
2,common,0.0,1701,1.2,53.988,44.99,0.15,drop,11.975971599997138,50000,20
2,common,0.0,1702,1.2,53.988,44.99,0.15,drop,9.349010200006887,50000,20
2,common,0.0,1703,1.2,53.988,44.99,0.15,drop,8.377928299989435,50000,20
2,common,0.0,1704,1.2,53.988,44.99,0.15,drop,8.712715899993782,50000,20
2,common,0.0,1705,1.2,53.988,44.99,0.15,drop,9.991347399991355,50000,20
2,common,0.0,1706,1.2,53.988,44.99,0.15,drop,9.942343099988648,50000,20
2,common,0.0,1707,1.2,53.988,44.99,0.15,drop,10.143234499992104,50000,20
2,common,0.0,1708,1.2,53.988,44.99,0.15,drop,8.293900600008783,50000,20
2,common,0.0,1709,1.2,53.988,44.99,0.15,drop,9.214318500002264,50000,20
2,common,0.0,1710,1.2,53.988,44.99,0.15,drop,7.1771370000060415,50000,20
2,common,0.75,1701,1.2,53.988,44.99,0.15,drop,8.36014580000483,50000,20
2,common,0.75,1702,1.2,53.988,44.99,0.15,drop,9.543338800009224,50000,20
2,common,0.75,1703,1.2,53.988,44.99,0.15,drop,8.91805779999413,50000,20
2,common,0.75,1704,1.2,53.988,44.99,0.15,drop,9.918568599998252,50000,20
2,common,0.75,1705,1.2,53.988,44.99,0.15,drop,8.43918699999631,50000,20
2,common,0.75,1706,1.2,53.988,44.99,0.15,drop,9.095983699997305,50000,20
2,common,0.75,1707,1.2,53.988,44.99,0.15,drop,7.983326399989892,50000,20
2,common,0.75,1708,1.2,53.988,44.99,0.15,drop,8.76940590000595,50000,20
2,common,0.75,1709,1.2,53.988,44.99,0.15,drop,8.016817800002173,50000,20
2,common,0.75,1710,1.2,53.988,44.99,0.15,drop,10.949458300005062,50000,20
2,common,0.975,1701,1.2,53.988,44.99,0.15,drop,8.849223500001244,50000,20
2,common,0.975,1702,1.2,53.988,44.99,0.15,drop,9.642184299998917,50000,20
2,common,0.975,1703,1.2,53.988,44.99,0.15,drop,9.372983699999168,50000,20
2,common,0.975,1704,1.2,53.988,44.99,0.15,drop,9.122743699990679,50000,20
2,common,0.975,1705,1.2,53.988,44.99,0.15,drop,8.863689199992223,50000,20
2,common,0.975,1706,1.2,53.988,44.99,0.15,drop,9.314246900001308,50000,20
2,common,0.975,1707,1.2,53.988,44.99,0.15,drop,8.726214700000128,50000,20
