N,channel_sync,rho,seed,deadline_ratio,deadline_ms,d_min_n_ms,epsilon,skip_mode,sha256
2,common,0.975,1708,1.2,53.988,44.99,0.05,late,90f048416e79d24c93b802635c49d92d5ddb932bb177d9d8592f444c49b4d3c8
2,common,0.975,1709,1.2,53.988,44.99,0.05,late,d8dffc1f1701a4f3668d2ca5bf66a064dc640a6d875dc59b58bc6e190b1fa57a
2,common,0.975,1710,1.2,53.988,44.99,0.05,late,6681a9305453a552d5cb01dca752ff9a22878513cd2a2a4ff9c48b3f364420f8
2,independent,0.0,1701,1.2,53.988,44.99,0.15,drop,a5b4c8e6252f1818e1c9c114bf85e16cb0d0fe48814382c1e2b62b3463f6cea5
2,independent,0.0,1702,1.2,53.988,44.99,0.15,drop,d83c972293526f2809cf83d5afb85d89cbbfb3a3f68e1dba18b702eda3760791
2,independent,0.0,1703,1.2,53.988,44.99,0.15,drop,d2c73c1cb6b7f2a13104c9cf8c392a22b20c813bab1e87861479585cce681619
2,independent,0.0,1704,1.2,53.988,44.99,0.15,drop,784f111341209457c744443170fb6d06788e12debea7078f1d059c922a3682a8
2,independent,0.0,1705,1.2,53.988,44.99,0.15,drop,98efa951f89cbb4cfa4b069282507f8a7922acb2aa68db85c29fdac9ffa1a4d6
2,independent,0.0,1706,1.2,53.988,44.99,0.15,drop,3cb606e61999cb243821fe5e8f20ab797f296fb7cf1d687b73aa86a6d230c097
2,independent,0.0,1707,1.2,53.988,44.99,0.15,drop,f73f263d8fcf2d929e172aa03f63c1d57a57dfaa06cd3a4b99ae1c5f3de81f31
2,independent,0.0,1708,1.2,53.988,44.99,0.15,drop,3cd6a2e52c1b27be64976d70939a8aa9affe17c197ea6f531da9385195ed3161
2,independent,0.0,1709,1.2,53.988,44.99,0.15,drop,e6ae648e40428e61130c19d7f48a985192e3cfeabc8823ef9fc2f8f36787bd92
2,independent,0.0,1710,1.2,53.988,44.99,0.15,drop,35468f4630c9e2cd717ba96d7d8ab61eba2b6aae46759adb7fdab36238e32438
2,independent,0.75,1701,1.2,53.988,44.99,0.15,drop,33609523fee19317548a120c0a2448b1a49b72a5901fbbe5825bac12f5b04511
2,independent,0.75,1702,1.2,53.988,44.99,0.15,drop,75d723b91dba035b605b1e62fb7598d75aa542120d27853fee087dec8df355af
2,independent,0.75,1703,1.2,53.988,44.99,0.15,drop,0749d45aa0a2fc52a3f55ef860d5c3f985f3518263f0d7b4e14038e6e2fceef2
2,independent,0.75,1704,1.2,53.988,44.99,0.15,drop,0bc3b7b9f9b0f2f1275c481a778b1eca2a08f9d08789827ffbfd8e11bc90571c
2,independent,0.75,1705,1.2,53.988,44.99,0.15,drop,f7e7ac9fb6903d956fdbbcd0829d2f3210d8b8fce4e08d40aefb3d3c96070e39
2,independent,0.75,1706,1.2,53.988,44.99,0.15,drop,fc826e68dc5732d9db27485ef9f3d8a62659668ca66f37eff47c38abcf5a99b9
2,independent,0.75,1707,1.2,53.988,44.99,0.15,drop,6d618707a4ed3431f5396de451149975b99e123d1e68e8a2cf60b519386464dc
2,independent,0.75,1708,1.2,53.988,44.99,0.15,drop,81300e583c1ba2fcb1fdd7f0d8ece59fc50f3e296c4c0899bbc82da0577dd19e
2,independent,0.75,1709,1.2,53.988,44.99,0.15,drop,c2e9797bb1c4f9a246b8326bc45ebe46868778abc923d7e88f77a6f79ea294ec
2,independent,0.75,1710,1.2,53.988,44.99,0.15,drop,f2b782750a3bb0959b76de45d160f5a662afa35f4028dbcbd16afe239a525435
2,independent,0.975,1701,1.2,53.988,44.99,0.15,drop,fa50c460a926e0ac15d8cd7d415ae7b91f314dd0ea533db663ed9afa74ecec40
2,independent,0.975,1702,1.2,53.988,44.99,0.15,drop,bbd8cd5fc71ef0210a7b42582f8849e00884bca6fd6b5b87bfbbd3379b866030
2,independent,0.975,1703,1.2,53.988,44.99,0.15,drop,721b490bef7c8badb5a9feffc2b2080c370fa9e81b8280ed4cbe8eb096feea9f
2,independent,0.975,1704,1.2,53.988,44.99,0.15,drop,210ab135c3c01016170897c181bfe3d8f29acf8cdf6aa1cab594ec9db0ecf6b1
2,independent,0.975,1705,1.2,53.988,44.99,0.15,drop,8e8c7e2d75a3043317fabdbc9d32c8a3c36965d441c2be751067082b02015d25
2,independent,0.975,1706,1.2,53.988,44.99,0.15,drop,821a358a258452563365f1405b9a7ade4906c2ad9f70385db4f37f271ed8ef3b
2,independent,0.975,1707,1.2,53.988,44.99,0.15,drop,eee6843928821ddd29b89439c79f342f6398466658dbf40c190ab965f06b0856
2,independent,0.975,1708,1.2,53.988,44.99,0.15,drop,37944dbb1b6462b5568b915cc41b6ac4c380afccbcb5a209e9f697f856b78105
2,independent,0.975,1709,1.2,53.988,44.99,0.15,drop,70fd90b49f3c4349d3579dd940d3b2fc9564368324e5eb8138398f148d446b58
2,independent,0.975,1710,1.2,53.988,44.99,0.15,drop,71b79f8fca95db25bf288aa5c877562908090a717c4f3f0fe15f198fb64463ec
2,common,0.0,1701,1.2,53.988,44.99,0.15,drop,327c3236dfecfce855f2f8941ec4f6d769a6278bf2cb378c411d77df5ddff87a
2,common,0.0,1702,1.2,53.988,44.99,0.15,drop,c991cb88b08b6133cb6561a86daba5e56952c90c5c0e4e1c620e812b5d2cee1b
2,common,0.0,1703,1.2,53.988,44.99,0.15,drop,6d78f942a2f7132888f1b0a66a161d09dcc36c494b8ce37fccf7b38a9d54e583
2,common,0.0,1704,1.2,53.988,44.99,0.15,drop,d8bb44cd7e9c7ac14dc7ea215d2008364345d2323709c1884a7e5bacdb991b95
2,common,0.0,1705,1.2,53.988,44.99,0.15,drop,f1d9d1d1fa129265a4037af0fe4087464a79e83ad4072146a1222bdb19844e48
2,common,0.0,1706,1.2,53.988,44.99,0.15,drop,308684c279a2646baa13a906ca7ad134dd815cf1e251948c4ad94950c07c7fac
2,common,0.0,1707,1.2,53.988,44.99,0.15,drop,7e38334179ce978dce6366da8bd9c7e3b300642be9806976810b02b68c6321c7
2,common,0.0,1708,1.2,53.988,44.99,0.15,drop,0020cad94246c3966e73fd2162b1eb03034a0e1c401abed34850a5f7788b1f82
2,common,0.0,1709,1.2,53.988,44.99,0.15,drop,46379e1de87c5f3be352d740c236b8a427ee02594aec1b22663aa10aa8afa827
2,common,0.0,1710,1.2,53.988,44.99,0.15,drop,c8916bd138638a9e03f713fee4350ee701a08a1887dc0bbc96d7cfd9f889dc57
2,common,0.75,1701,1.2,53.988,44.99,0.15,drop,4c17081364411311f50b58dc08d7606c87bad0c6712c34d9af41a01402cf172a
2,common,0.75,1702,1.2,53.988,44.99,0.15,drop,c745c9e06777f9a2c09e96d0d2226b6402e67b34d351cb3a0f45871389b54ba7
2,common,0.75,1703,1.2,53.988,44.99,0.15,drop,a1ebf431c4800946cc47c92fc44c33b44195745ad9a051b6920a9ace73d65a64
2,common,0.75,1704,1.2,53.988,44.99,0.15,drop,27410c987e16ff7087340e6c827530609c43295e5f28f1d805aacda7ffab94c3
2,common,0.75,1705,1.2,53.988,44.99,0.15,drop,00e750e8915524f2133257aed302c97b1128b67129ac80888abd746e00982e81
2,common,0.75,1706,1.2,53.988,44.99,0.15,drop,ab968b434e21f82681aff561caffa0ef58cfe475b995b75c25d9deb8187bd051
2,common,0.75,1707,1.2,53.988,44.99,0.15,drop,2bd21ff7fdecbc78f68711e4155e45035cdb49dff689de5d244df9a4043db655
2,common,0.75,1708,1.2,53.988,44.99,0.15,drop,6850c84a764c52bb5e9315df79a22c7c16cab931619ae225d9397872514e6c80
2,common,0.75,1709,1.2,53.988,44.99,0.15,drop,19d35259443b7789fa4ae385c03860608ab6d8945004f8c2161bcfe5430d2440
2,common,0.75,1710,1.2,53.988,44.99,0.15,drop,37999f6fe31e12936fd5af53cf3fc295dc24ecffcbd8b132465d28e4a559e834
2,common,0.975,1701,1.2,53.988,44.99,0.15,drop,71a3aa2a63bc6696157f215608ad577b5e151c5603cb3988a342767fecb2dff9
2,common,0.975,1702,1.2,53.988,44.99,0.15,drop,9d253f38a2e086c3b685d0a290c2c4678df94d053a8d51609582dccb3d96678f
2,common,0.975,1703,1.2,53.988,44.99,0.15,drop,7340e755e6028e8076fadc53c90347b043ac0f8903700044c1058bdf6017caa2
2,common,0.975,1704,1.2,53.988,44.99,0.15,drop,0b23ac2e05960cbeda5b74e73781a5d2a0e83d0302ec7491b0407377d5b44db6
2,common,0.975,1705,1.2,53.988,44.99,0.15,drop,d6fa8e3b0b891d4b9954d43585ea0a8ab784c53a297ef921be21ebb78a1f8b6b
2,common,0.975,1706,1.2,53.988,44.99,0.15,drop,76f0f99d9f4a9eaf2bb789dd8fa4e7ca7afc484b8e62bacec16b99779c7fda4c
2,common,0.975,1707,1.2,53.988,44.99,0.15,drop,4f39fd1efd5045c31213cd350ae98eae43b6cb303ddca698a493cc6f3522029d
2,common,0.975,1708,1.2,53.988,44.99,0.15,drop,a0df709b738fbf82fd84cb56b711c3292d8a4cddbb3e06f7efe2536a8b0773ca
2,common,0.975,1709,1.2,53.988,44.99,0.15,drop,60061ee38eecc704df367fec33480f6845da0f661b79fad32ef4b410f9fabee1
2,common,0.975,1710,1.2,53.988,44.99,0.15,drop,9a3976a920e84210338497c42af30addea252c44b7416d9f379cda0f2eb6a231
2,independent,0.0,1701,1.2,53.988,44.99,0.15,late,e49edf668680dc9d8a724b4fc5c51483d0bd694e35fe70360cffebe800202062
2,independent,0.0,1702,1.2,53.988,44.99,0.15,late,efe9862959f8859e8673aaee45dd57a5d87606211425757c449b5437f39cb802
2,independent,0.0,1703,1.2,53.988,44.99,0.15,late,8fbb788e3d03c94c21ab29cb91ce5be70e3b683722b8cb9521f51c98fe33a8a9
2,independent,0.0,1704,1.2,53.988,44.99,0.15,late,cdfae35b492002678216b99051521bbcb46dc9f04c79efc0a079871c8d6c19a8
2,independent,0.0,1705,1.2,53.988,44.99,0.15,late,b0a60e426cf73e6a3ae11669473468aea97b7de9d1dd0bc598711b0eeb6ba253
