device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,check,passed,detail,severity
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P2prime_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,violation_P3_within_budget,True,0.15 <= 0.155,required
device_0,0.0,1701.0,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,80.0,1420.0,P1_equals_forced,True,0.008 == 0.008,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2_le_P2prime,True,0.0727413069 <= 0.0727413091,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2prime_le_P3,True,0.0727413091 <= 0.0728475037,diagnostic
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2_le_P0,True,0.0727413069 <= 0.0755022631,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P0_le_P1,True,0.0755022631 <= 0.0760443174,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,P1_equals_forced,True,0.0018 == 0.0018,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2_le_P2prime,True,0.0743577162 <= 0.0743581472,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2prime_le_P3,True,0.0743581472 <= 0.0744532759,diagnostic
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P2_le_P0,True,0.0743577162 <= 0.0761595513,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,energy_P0_le_P1,True,0.0761595513 <= 0.0763794716,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P0_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P2_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P2prime_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,violation_P3_within_budget,True,0.01 <= 0.015,required
device_0,0.0,1701.0,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,82.0,P1_equals_forced,True,0.0018 == 0.0018,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,energy_P2_le_P2prime,True,0.0578895934 <= 0.0585934473,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,energy_P2prime_le_P3,True,0.0585934473 <= 0.0583414665,diagnostic
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,energy_P2_le_P0,True,0.0578895934 <= 0.0725486627,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,energy_P0_le_P1,True,0.0725486627 <= 0.0760443174,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,violation_P0_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,violation_P2_within_budget,True,0.05 <= 0.055,required
device_0,0.0,1701.0,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2041,-0.005175586574489375,18.0,482.0,violation_P2prime_within_budget,True,0.05 <= 0.055,required
