device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,discard_gain_percent,targeting_gain_percent,oracle_gap_percent,online_recovery,p2prime_gap_percent
device_0,0.75,1701,1.2,43.254,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,6.601064185689721,14.479894774303192,21.080958959992913,0.8249541182887025,0.11523076642520842
device_0,0.75,1701,1.2,43.254,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,637,3.6219250551016904,11.093958716938815,14.715883772040504,0.7353375597641096,0.37687680776932947
device_0,0.75,1701,1.2,43.254,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,11.696561956618675,25.73751504246486,37.43407699908354,0.7358559041389041,8.430107779901979
device_0,0.75,1701,1.2,43.254,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,363,1137,6.575765771475846,18.968428046688935,25.544193818164782,0.6769453194701769,6.0893680808224175
device_0,0.75,1701,1.35,48.66075000000001,0.05,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,3.9884531027803853,12.942530376427277,16.93098347920766,0.9317162372243967,0.019161920212229275
device_0,0.75,1701,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,418,1.6290804357137034,9.681737500973938,11.310817936687641,0.8520153689824903,0.05975872353242589
device_0,0.75,1701,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,9.43784236955705,27.451673048246665,36.889515417803715,0.7785124377300631,4.047612743525673
device_0,0.75,1701,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,918,4.1430038192103975,19.888939085065978,24.031942904276374,0.9664523763815344,3.113202833182971
device_0,0.75,1701,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,14.3707271045885,36.62055155094287,50.991278655531374,0.7556100973730947,10.451687978908355
device_0,0.75,1701,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2038,0.7377209806197738,82,1418,6.629764261103808,25.642842101354912,32.272606362458724,0.9660383571293436,7.331198516394632
