device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,sha256
device_0,0.0,1702,1.35,48.66075000000001,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,407,5a87c0f921977731fcece639a75ab80c7e74341651061455ebb197b0d4cf7ca4
device_0,0.0,1702,1.35,48.66075000000001,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,907,655b2193377e64ec6cb3d6ec8cec302f05a2e136676038436c9cebeeedc6d290
device_0,0.0,1702,1.35,48.66075000000001,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,907,2080a451a28d8e89525da96656998c51f77e10afd4758edca44f1e87faafb71c
device_0,0.0,1702,1.35,48.66075000000001,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,1407,b8c637ea2af112a4d90d15df7ef8589806207ccc5e3642d76e6f121b5c88a6c1
device_0,0.0,1702,1.35,48.66075000000001,0.15,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,93,1407,35f7827a194208d8509c40da39b28959f49298a0fdbbbb1504c71f708900c539
device_0,0.0,1702,1.5,54.0675,0.01,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,73,e8c55634df5f593bdf8b59083a2c82df9d10a8b1581bd2224d567af54da24922
device_0,0.0,1702,1.5,54.0675,0.01,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,73,a13de2ec4ecb50ff34ed29408fa4bb062288071fde9d336f261187ea253594ab
device_0,0.0,1702,1.5,54.0675,0.05,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,473,50a3b211fe55631ac45ce865f2569828c542aa5225844bae37b0b9f899a2cb2d
device_0,0.0,1702,1.5,54.0675,0.05,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,473,d7767529493a7f99011d01ff0759b10340e7ac51c309242943377e824f3fefde
device_0,0.0,1702,1.5,54.0675,0.1,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,973,e0933c2e6126f8f09a5b1c96619ae648acfe1fbaa6ecdb93cf69eca9f24b4e63
device_0,0.0,1702,1.5,54.0675,0.1,late,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,973,1fef5341031a0d1cd6df14904234fe3d248881ddc1a96094bf4ad015982974b3
device_0,0.0,1702,1.5,54.0675,0.15,drop,40.0,12.0,3.3333333333333335,0.2044,-0.0003880774600071656,27,1473,cca900e8f1f9472710d5da9bbc5160242d2020c716efd26f5d6d7f4f8f83faa8
