device,rho,deadline_ratio,epsilon,skip_mode,policy,mean_energy_j_mean,mean_energy_j_std,violation_rate_mean,violation_rate_std,max_violation_run_mean,max_violation_run_std,burst_count_ge2_mean,burst_count_ge2_std,violation_state_bad_share_mean,violation_state_bad_share_std,boost_use_rate_mean,boost_use_rate_std,boost_use_rate_good_mean,boost_use_rate_good_std,boost_use_rate_bad_mean,boost_use_rate_bad_std,selected_v_mean,selected_v_std
device_0,0.0,1.35,0.15,late,P0,0.09197962871595153,0.00017994573112258238,0.15,0.0,4.0,0.0,182.5,6.363961030678928,0.22899999999999998,0.010842303978193722,0.09875,0.0013435028842544348,0.0,0.0,0.4834729771580832,0.006075607236493325,,
device_0,0.0,1.35,0.15,late,P1,0.09780372201275622,0.00010560423825307088,0.00865,0.0009192388155425111,1.0,0.0,0.0,0.0,1.0,0.0,0.1135,0.00014142135623731355,0.0,0.0,0.5556914946147997,0.00011525771853298299,,
device_0,0.0,1.35,0.15,late,P2,0.06634236243341565,9.482533863223652e-05,0.15,0.0,4.0,0.0,200.0,0.0,0.8206666666666667,0.008485281374238578,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.35,0.15,late,P2prime,0.06866783544601701,1.068760623989498e-06,0.15,0.0,1.0,0.0,0.0,0.0,0.8083333333333333,0.002357022603955213,0.0135,0.0007071067811865482,0.0,0.0,0.06609370910042753,0.0033933228309275055,,
device_0,0.0,1.35,0.15,late,P3,0.0667198928728803,0.00010125459431242987,0.15,0.0,4.5,0.7071067811865476,195.0,0.0,0.8463333333333334,0.00801387685344748,0.0008,0.0,0.0,0.0,0.003916770778301186,4.067919477635473e-06,100.0,0.0
device_0,0.0,1.5,0.01,drop,P0,0.07533014631945002,0.00024340982435093074,0.01,0.0,2.0,0.0,1.5,0.7071067811865476,0.36,0.05656854249492383,0.0433,0.0007071067811865482,0.0,0.0,0.21199701615895666,0.0036821451138396365,,
device_0,0.0,1.5,0.01,drop,P1,0.07585890215569549,0.0002622167044500491,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.01,drop,P2,0.07273556247946553,8.123889350529818e-06,0.01,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,1.0,0.0,0.035750000000000004,7.071067811864941e-05,0.0,0.0,0.17503051437699374,0.00016441174555441835,,
device_0,0.0,1.5,0.01,drop,P2prime,0.07273556358293205,8.125449887852294e-06,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.035750000000000004,7.071067811864941e-05,0.0,0.0,0.17503051437699374,0.00016441174555441835,,
device_0,0.0,1.5,0.01,drop,P3,0.07282025915572289,3.85296557765927e-05,0.01,0.0,1.0,0.0,0.0,0.0,0.99,0.014142135623730963,0.0359,0.0,0.0,0.0,0.17576508867626572,0.00018254788655888907,10.0,0.0
device_0,0.0,1.5,0.01,late,P0,0.07610724035820152,7.397883697038134e-05,0.01,0.0,1.5,0.7071067811865476,0.5,0.7071067811865476,0.345,0.04949747468305835,0.0431,0.0002828427124746173,0.0,0.0,0.21101674479433838,0.0016039467507026513,,
device_0,0.0,1.5,0.01,late,P1,0.07627814396211358,0.0001432989869333684,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.01,late,P2,0.07436572297743702,1.1323339631840328e-05,0.01,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.035750000000000004,7.071067811864941e-05,0.0,0.0,0.17503051437699374,0.00016441174555441835,,
device_0,0.0,1.5,0.01,late,P2prime,0.07436597075553844,1.1064166614549453e-05,0.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.035750000000000004,7.071067811864941e-05,0.0,0.0,0.17503051437699374,0.00016441174555441835,,
device_0,0.0,1.5,0.01,late,P3,0.07444748719203931,8.18644916257865e-06,0.01,0.0,1.0,0.0,0.0,0.0,0.995,0.007071067811865481,0.0358,0.0,0.0,0.0,0.17527549232897804,0.00018203939662417943,10.0,0.0
device_0,0.0,1.5,0.05,drop,P0,0.07238402672221181,0.00023283048833621303,0.05,0.0,3.0,0.0,26.5,3.5355339059327378,0.219,0.007071067811865481,0.0417,0.0007071067811865482,0.0,0.0,0.2041634746023543,0.0036740092748843603,,
device_0,0.0,1.5,0.05,drop,P1,0.07585890215569549,0.0002622167044500491,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.05,drop,P2,0.05787088737793199,2.645428195240809e-05,0.05,0.0,3.0,0.0,31.0,2.8284271247461903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.05,drop,P2prime,0.0584729002663036,0.00017047922759395602,0.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.05,drop,P3,0.05842275990259986,0.00011496627324559658,0.05,0.0,5.0,0.0,31.0,5.656854249492381,0.984,0.008485281374238578,0.002,0.0007071067811865475,0.0,0.0,0.00979012916234799,0.003451799173418511,100.0,0.0
device_0,0.0,1.5,0.05,late,P0,0.07515734938776715,0.00014574482171566473,0.05,0.0,2.5,0.7071067811865476,23.5,0.7071067811865476,0.245,0.012727922061357866,0.04115,0.0006363961030678914,0.0,0.0,0.20147051491393173,0.0033250156830322143,,
device_0,0.0,1.5,0.05,late,P1,0.07627814396211358,0.0001432989869333684,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.05,late,P2,0.06569951008918373,7.874782517207949e-06,0.05,0.0,3.0,0.0,28.5,6.363961030678928,0.947,0.007071067811865481,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.05,late,P2prime,0.06609224307552354,0.00010099153138708849,0.05,0.0,1.0,0.0,0.0,0.0,0.914,0.008485281374238578,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.05,late,P3,0.06594702029276653,8.354673361341622e-05,0.05,0.0,3.5,0.7071067811865476,32.5,6.363961030678928,0.952,0.014142135623730963,0.0012000000000000001,0.000565685424949238,0.0,0.0,0.0058737179407278,0.0027634732984736267,100.0,0.0
device_0,0.0,1.5,0.1,drop,P0,0.06863929092865352,0.00039895969963075264,0.1,0.0,3.5,0.7071067811865476,85.5,6.363961030678928,0.2185,0.01626345596729061,0.04,0.0007071067811865482,0.0,0.0,0.19584033669846426,0.0036653649459943653,,
device_0,0.0,1.5,0.1,drop,P1,0.07585890215569549,0.0002622167044500491,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.1,drop,P2,0.049572444046137885,2.3781754284356073e-05,0.1,0.0,4.0,0.0,96.0,9.899494936611665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.1,drop,P2prime,0.05020488015108131,0.00016702318375794593,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.1,drop,P3,0.049972058540710684,3.8171474248723894e-05,0.1,0.0,5.5,0.7071067811865476,76.0,2.8284271247461903,0.987,0.004242640687119289,0.0008,0.0,0.0,0.0,0.003916770778301186,4.067919477635473e-06,100.0,0.0
device_0,0.0,1.5,0.1,late,P0,0.07417869860435702,0.00024396105504582283,0.1,0.0,3.5,0.7071067811865476,105.0,5.656854249492381,0.216,0.004242640687119289,0.03945,0.000777817459305205,0.0,0.0,0.19314773656672268,0.004008765148564745,,
device_0,0.0,1.5,0.1,late,P1,0.07627814396211358,0.0001432989869333684,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.1,late,P2,0.06210364717421907,1.3855157989054577e-05,0.1,0.0,3.5,0.7071067811865476,102.5,3.5355339059327378,0.7155,0.007778174593051991,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.1,late,P2prime,0.06257286341353438,0.00011303938121218573,0.1,0.0,1.0,0.0,0.0,0.0,0.6859999999999999,0.005656854249492346,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.1,late,P3,0.06231899554422308,7.772067998850451e-06,0.1,0.0,3.5,0.7071067811865476,84.5,13.435028842544403,0.7515000000000001,0.006363961030678894,0.00035,7.071067811865478e-05,0.0,0.0,0.0017134074371662714,0.00034441718243979447,100.0,0.0
device_0,0.0,1.5,0.15,drop,P0,0.06461069564086208,2.179131988861461e-05,0.15,0.0,5.0,0.0,173.0,12.727922061357855,0.21066666666666667,0.004714045207910308,0.03655,0.00021213203435596788,0.0,0.0,0.17894692559861392,0.0008527376204993351,,
device_0,0.0,1.5,0.15,drop,P1,0.07585890215569549,0.0002622167044500491,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.15,drop,P2,0.04146505910848658,2.5169116686665483e-05,0.15,0.0,4.5,0.7071067811865476,190.5,4.949747468305833,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.15,drop,P2prime,0.042165850905811694,0.0001632078342189971,0.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.15,drop,P3,0.04187005525928983,4.1994250298811196e-05,0.15,0.0,8.0,2.8284271247461903,166.5,3.5355339059327378,0.9753333333333334,0.0018856180831641153,0.0005,0.0,0.0,0.0,0.0024479817364382412,2.542449673522324e-06,100.0,0.0
device_0,0.0,1.5,0.15,late,P0,0.07290876914415811,0.0004982482524115578,0.15,0.0,5.0,0.0,199.0,1.4142135623730951,0.21200000000000002,0.016970562748477126,0.036199999999999996,0.001414213562373089,0.0,0.0,0.1772374732849386,0.007108011300588211,,
device_0,0.0,1.5,0.15,late,P1,0.07627814396211358,0.0001432989869333684,0.0022500000000000003,0.0006363961030678928,1.0,0.0,0.0,0.0,1.0,0.0,0.0435,0.0005656854249492371,0.0,0.0,0.21297584929685096,0.002990768299286501,,
device_0,0.0,1.5,0.15,late,P2,0.05889966110793282,3.0904033701712917e-05,0.15,0.0,5.0,1.4142135623730951,205.5,4.949747468305833,0.6653333333333333,0.0009428090415821165,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,1.5,0.15,late,P2prime,0.0596137557981861,0.00011660029332091392,0.15,0.0,1.0,0.0,0.0,0.0,0.7296666666666667,0.005185449728701288,0.00265,0.0006363961030678926,0.0,0.0,0.012975921208187153,0.003129247058171007,,
device_0,0.0,1.5,0.15,late,P3,0.059261685821713386,2.924519138407238e-05,0.15,0.0,4.5,0.7071067811865476,185.0,5.656854249492381,0.727,0.0032998316455371724,0.0003,0.0,0.0,0.0,0.0014687890418629446,1.5254698041133023e-06,100.0,0.0
device_0,0.0,2.0,0.01,drop,P0,0.060965260065817595,1.719816804520426e-05,0.01,0.0,2.0,0.0,1.5,0.7071067811865476,0.22,0.014142135623730963,0.0,0.0,0.0,0.0,0.0,0.0,,
device_0,0.0,2.0,0.01,drop,P1,0.06159484714839379,1.7966629327557098e-05,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
